localTime,remoteTime,label,ibi,bpm,signalOK
1584780044790,963932,,1106,71,0
1584780048290,967712,,538,111,0
1584780048790,968292,,572,110,0
1584780049290,968632,,344,114,0
1584780050290,969432,,780,109,0
1584780050790,969952,,506,110,1
1584780051290,970532,,556,110,1
1584780051792,971112,,562,109,1
1584780053789,973232,,2084,85,0
1584780055293,974852,,1586,74,0
1584780056910,976072,,1184,68,0
1584780057289,976792,1,710,67,0
1584780057791,977292,1,490,68,0
1584780059289,978432,1,1116,62,1
1584780059788,979131,1,670,63,0
1584780060789,980071,1,922,60,0
1584780061789,981111,1,1032,57,0
1584780066788,986111,1,896,66,0
1584780067289,986651,1,538,69,0
1584780067789,987051,1,388,74,0
1584780069789,989331,1,2232,63,0
1584780073789,992971,1,476,126,0
1584780074289,993491,1,494,125,0
1584780074788,993971,1,478,125,0
1584780075290,994491,1,502,125,0
1584780075789,994971,1,478,125,0
1584780076288,995471,1,490,124,0
1584780076789,995971,1,492,124,1
1584780077289,996471,1,486,123,1
1584780077789,996971,1,492,123,1
1584780078289,997471,1,486,123,1
1584780078789,997971,1,496,122,1
1584780079289,998471,1,484,122,1
1584780079788,998991,1,504,122,1
1584780080289,999471,1,480,122,1
1584780080789,999971,1,490,122,1
1584780081289,1000471,1,488,122,1
1584780081789,1000971,1,486,122,1
1584780082289,1001471,1,492,122,1
1584780082789,1001971,1,490,122,1
1584780083289,1002471,1,494,122,1
1584780083789,1002971,1,482,122,1
1584780084288,1003471,1,494,122,1
1584780084791,1003971,1,492,122,1
1584780085288,1004471,1,482,122,1
1584780085789,1004971,1,488,122,1
1584780086289,1005471,1,490,122,1
1584780086789,1005971,1,490,122,1
1584780087290,1006471,1,488,122,1
1584780087789,1006991,1,500,122,1
1584780088298,1007471,1,476,122,1
1584780088790,1007971,1,494,122,1
1584780089289,1008471,1,488,122,1
1584780089791,1008971,1,486,122,1
1584780090293,1009471,1,494,122,1
1584780090789,1009971,1,488,122,1
1584780091289,1010471,1,490,122,1
1584780091789,1010971,1,486,122,1
1584780092288,1011491,1,500,122,1
1584780092789,1011971,1,474,123,1
1584780093288,1012471,1,494,122,1
1584780093789,1012971,1,492,122,1
1584780094289,1013471,1,484,122,1
