localTime,remoteTime,label,ibi,bpm,signalOK
1584780048666,897445,,698,90,1
1584780049166,898105,,650,90,1
1584780050666,899505,,1378,81,0
1584780051666,900365,,826,79,0
1584780052166,900865,,496,81,0
1584780052666,901505,,628,81,0
1584780053666,902205,,682,81,0
1584780054669,903605,,1378,74,0
1584780055666,904445,,826,72,0
1584780056165,904945,,496,74,0
1584780056886,905625,,666,74,0
1584780057666,906325,,670,74,0
1584780058166,906985,,666,81,0
1584780059164,907684,,666,83,1
1584780059664,908344,,658,81,1
1584780060168,909004,,636,81,1
1584780061164,909684,,674,81,1
1584780061667,910384,,668,90,1
1584780062165,911024,,644,93,1
1584780063165,911784,,742,89,1
1584780063666,912364,1,564,91,1
1584780064178,913044,1,672,91,1
1584780065170,913724,1,648,91,1
1584780065665,914404,1,674,91,1
1584780066166,915104,1,680,90,1
1584780067165,915784,1,664,90,1
1584780067665,916444,1,656,90,1
1584780068664,917144,1,690,90,1
1584780069165,917864,1,688,89,1
1584780069665,918524,1,656,91,1
1584780070666,919204,1,654,89,1
1584780071164,919904,1,696,89,1
1584780071666,920564,1,656,89,1
1584780072665,921204,1,610,90,1
1584780073165,921864,1,652,90,1
1584780073664,922544,1,670,90,1
1584780074665,923224,1,652,90,1
1584780075165,923904,1,666,90,1
1584780075666,924584,1,666,91,1
1584780076665,925304,1,694,90,1
1584780077165,926004,1,690,90,1
1584780078165,926704,1,680,90,1
1584780079165,928064,1,1336,82,0
1584780080665,929444,1,1344,74,0
1584780082166,930804,1,1334,68,0
1584780083664,932184,1,1338,63,0
1584780084665,933604,1,1390,59,1
1584780087166,935744,1,2092,51,0
1584780088665,937184,1,1414,48,0
1584780089664,938544,1,1322,46,0
1584780091165,939884,1,1302,44,0
1584780092165,940684,1,782,43,0
1584780092685,941284,1,594,46,0
1584780093664,942604,1,1288,46,0
1584780095165,943944,1,1300,46,0
1584780096665,945204,1,1238,47,0
1584780097166,945964,1,742,49,0
1584780097666,946524,1,552,56,0
1584780098666,947224,1,672,61,0
1584780099165,947884,1,644,65,0
1584780099665,948504,1,620,71,0
1584780100665,949184,1,660,72,1
1584780101165,949884,1,688,71,1
1584780101665,950564,1,662,77,1
1584780102664,951284,1,696,83,1
1584780103165,951984,1,696,90,1
1584780104167,952724,1,712,90,1
1584780105165,954124,1,1372,80,0
1584780106165,954964,1,824,79,0
1584780106665,955564,1,584,79,0
1584780107665,956264,1,682,79,0
1584780108165,956964,1,686,78,0
1584780109165,957684,1,714,78,0
1584780109665,958424,1,716,78,1
1584780110664,959144,1,710,78,1
1584780111665,960584,1,1404,71,0
1584780113166,962024,1,1416,65,0
1584780114165,962904,1,850,69,0
1584780114665,963424,1,512,72,0
1584780115165,964104,1,666,71,0
1584780116165,964804,1,690,71,0
1584780116666,965524,1,694,71,0
1584780117666,966224,1,692,71,1
1584780118165,966984,1,746,71,1
1584780119165,967764,1,750,71,1
1584780119665,968504,1,728,77,1
1584780120665,969284,1,766,84,1
1584780121165,970044,1,744,85,1
1584780122165,970784,1,722,83,1
1584780122666,971524,1,722,82,1
1584780123665,972264,1,742,82,1
1584780124164,973004,1,724,81,1
1584780125165,973724,1,690,81,1
1584780125665,974444,1,700,82,1
1584780126665,975164,1,712,82,1
1584780127165,975844,1,668,83,1
1584780127665,976544,1,684,84,1
1584780128665,977284,1,728,84,1
1584780129166,978024,1,730,84,1
1584780130165,978764,1,718,84,1
1584780131666,980224,1,1432,77,0
1584780132166,981104,1,860,75,0
1584780133164,981704,1,572,76,0
1584780134167,983124,1,1406,70,0
1584780135165,983984,1,844,69,0
1584780135665,984564,1,554,70,0
1584780137165,985984,1,1386,65,0
1584780138168,986824,1,832,64,0
1584780138670,987444,1,612,65,0
1584780139664,988264,1,790,64,0
1584780140165,989084,1,804,69,0
1584780141165,989904,1,808,69,0
1584780142164,990784,1,848,67,1
1584780142667,991624,1,818,72,1
1584780143681,992444,1,812,72,1
1584780144665,993304,1,832,70,1
1584780145165,994124,1,816,75,1
1584780146164,994923,1,784,75,1
1584780147164,995743,1,792,74,1
1584780147663,996563,1,812,73,1
1584780148664,997363,1,766,74,1
1584780149165,998103,1,738,74,1
1584780150167,998883,1,748,75,1
1584780151166,999663,1,766,76,1
1584780151664,1000423,1,742,77,1
1584780152665,1001163,1,730,78,1
