localTime,remoteTime,label,eda,eda_filtered
1584780019281,897559,,4095,4095
1584780019281,897779,,4095,4095
1584780019782,897999,,4095,4095
1584780019782,898219,,4095,4095
1584780020281,898439,,4095,4095
1584780020281,898659,,4095,4095
1584780020281,898879,,4095,4095
1584780020781,899099,,4095,4095
1584780020781,899319,,4095,4095
1584780021281,899539,,4095,4095
1584780021281,899759,,4095,4095
1584780021780,899979,,4095,4095
1584780021780,900199,,4095,4095
1584780022282,900419,,4095,4095
1584780022282,900639,,4095,4095
1584780022282,900859,,4095,4095
1584780022781,901079,,4095,4095
1584780022781,901299,,4095,4095
1584780023281,901519,,4095,4095
1584780023281,901739,,4095,4095
1584780023783,901959,,4095,4095
1584780023783,902179,,4095,4095
1584780024281,902399,,4095,4095
1584780024281,902619,,4095,4095
1584780024281,902839,,4095,4095
1584780024780,903059,,4095,4095
1584780024780,903279,,4095,4095
1584780025282,903499,,4095,4095
1584780025282,903719,,4095,4095
1584780025781,903939,,4095,4095
1584780025781,904159,,4095,4095
1584780025781,904379,,4095,4095
1584780026286,904599,,4095,4095
1584780026286,904819,,4095,4095
1584780026781,905039,,4095,4095
1584780026781,905259,,4095,4095
1584780027281,905479,,4095,4095
1584780027281,905699,,4095,4095
1584780027780,905919,,4095,4095
1584780027780,906139,,4095,4095
1584780027780,906359,,4095,4095
1584780028282,906579,,4095,4095
1584780028282,906799,,4095,4095
1584780028781,907019,,4095,4095
1584780028781,907239,,4095,4095
1584780029281,907459,,4095,4095
1584780029281,907679,,4095,4095
1584780029781,907899,,4095,4095
1584780029781,908119,,4095,4095
1584780029781,908339,,4095,4095
1584780030281,908559,,4095,4095
1584780030281,908779,,4095,4095
1584780030782,908999,,4095,4095
1584780030782,909219,,4095,4095
1584780031280,909439,,4095,4095
1584780031280,909659,,4095,4095
1584780031280,909879,,4095,4095
1584780031781,910099,,4095,4095
1584780031781,910319,,4095,4095
1584780032282,910539,,4095,4095
1584780032282,910759,,4095,4095
1584780032781,910979,,4095,4095
1584780032781,911199,,4095,4095
1584780033282,911419,,4095,4095
1584780033282,911639,,4095,4095
1584780033282,911859,,4095,4095
1584780033781,912079,,4095,4095
1584780033781,912299,,4095,4095
1584780034281,912519,,4095,4095
1584780034281,912739,,4095,4095
1584780034781,912959,,4095,4095
1584780034781,913179,,4095,4095
1584780035281,913399,,4095,4095
1584780035281,913619,,4095,4095
1584780035281,913839,,4095,4095
1584780035782,914059,,4095,4095
1584780035782,914279,,4095,4095
1584780036281,914499,,4095,4095
1584780036281,914719,,4095,4095
1584780036789,914939,,4095,4095
1584780036789,915159,,4095,4095
1584780036789,915379,,4095,4095
1584780037284,915599,,4095,4095
1584780037284,915819,,4095,4095
1584780037782,916039,,4095,4095
1584780037782,916259,,4095,4095
1584780038280,916479,,4095,4095
1584780038280,916699,,4095,4095
1584780038781,916919,,4095,4095
1584780038781,917139,,4095,4095
1584780038781,917359,,4095,4095
1584780039282,917579,,4095,4095
1584780039282,917799,,4095,4095
1584780039781,918019,,4095,4095
1584780039781,918239,,4095,4095
1584780040285,918459,,4095,4095
1584780040285,918679,,4095,4095
1584780040781,918899,,4095,4095
1584780040781,919119,,4095,4095
1584780040781,919339,,4095,4095
