localTime,remoteTime,label,eda,eda_filtered
1584780023194,970977,,3247,3271.73
1584780023194,971197,,3223,3255
1584780023697,971417,,3213,3238.92
1584780023697,971637,,3216,3226.16
1584780023697,971857,,3227,3228.85
1584780024194,972077,,3177,3213.6
1584780024194,972297,,3183,3205.41
1584780024693,972517,,3242,3207.33
1584780024693,972737,,3152,3186.74
1584780025193,972957,,3173,3175.36
1584780025193,973177,,3175,3173.74
1584780025694,973397,,3168,3174.41
1584780025694,973617,,3198,3184.46
1584780025694,973837,,3202,3191.47
1584780026194,974057,,3201,3195.77
1584780026194,974277,,3307,3220.05
1584780026694,974497,,3307,3262.4
1584780026694,974717,,3327,3284.75
1584780027194,974937,,3195,3266.93
1584780027194,975157,,3170,3228.54
1584780027194,975377,,3155,3200.31
1584780027694,975597,,3143,3179.4
1584780027694,975817,,3153,3164.9
1584780028194,976037,,3153,3161.39
1584780028194,976257,,3167,3158.96
1584780028695,976477,,3173,3163.06
1584780028695,976697,,3184,3170.5
1584780029194,976917,,3184,3176.92
1584780029194,977137,,3195,3184.13
1584780029194,977357,,3184,3186.96
1584780029695,977577,,3157,3179.5
1584780029695,977797,,3129,3164.75
1584780030194,978017,,3108,3145.07
1584780030194,978237,,3088,3123.57
1584780030694,978457,,3081,3102.66
1584780030694,978677,,3070,3088.69
1584780031194,978897,,3065,3080.69
1584780031194,979117,,3088,3082.52
1584780031194,979337,,3094,3086.22
1584780031694,979557,,3102,3091.1
1584780031694,979777,,3117,3100.32
1584780032194,979997,,3122,3107.83
1584780032194,980217,,3127,3115.02
1584780032694,980437,,3134,3121.11
1584780032694,980657,,3127,3124.34
1584780032694,980877,,3123,3125.04
1584780033194,981097,,3131,3126.46
1584780033194,981317,,3134,3129.01
1584780033693,981537,,3137,3131.37
1584780033693,981757,,3150,3137.23
1584780034196,981977,,3151,3142.05
1584780034196,982197,,3155,3146.75
1584780034693,982417,,3152,3151.29
1584780034693,982637,,3163,3155.27
1584780034693,982857,,3165,3158.54
1584780035194,983077,,3173,3162.68
1584780035194,983297,,3177,3167.73
1584780035694,983517,,3184,3173.03
1584780035694,983737,,3183,3179.01
1584780036194,983957,,3198,3183.96
1584780036194,984177,,3196,3188.13
1584780036694,984397,,3187,3192.02
1584780036694,984617,,3201,3194.47
1584780036694,984837,,3193,3195.65
1584780037194,985057,,3183,3192.02
1584780037194,985277,,3165,3183.39
1584780037694,985497,,3145,3169.24
1584780037694,985717,,3133,3155.38
