localTime,remoteTime,label,ibi,bpm,signalOK
1584780050680,990476,,482,123,1
1584780051180,991316,,824,115,0
1584780051679,991816,,494,115,0
1584780052180,992196,,372,117,0
1584780052679,992456,,258,123,0
1584780052679,992716,,252,129,0
1584780053184,992996,,276,136,0
1584780053681,993456,,452,136,0
1584780054679,994496,,1014,122,0
1584780055184,995236,,708,116,0
1584780056180,995976,,734,111,1
1584780056890,996476,,482,119,0
1584780057679,997496,,1000,108,0
1584780060179,999996,,2428,78,0
1584780061679,1001476,,1456,68,1
1584780062180,1002376,,874,63,0
1584780063179,1002956,,574,61,0
1584780063679,1003496,,526,61,0
1584780064180,1003996,,490,64,0
1584780064679,1004476,,464,66,0
1584780065182,1004976,1,488,68,0
1584780065678,1005476,1,494,68,1
1584780066180,1005976,1,476,72,1
1584780066180,1006336,1,364,96,1
1584780067179,1006976,1,620,111,0
1584780067679,1007476,1,484,120,0
1584780068179,1007976,1,492,122,1
1584780068679,1008476,1,480,123,1
1584780069179,1008976,1,506,123,1
1584780069679,1009476,1,486,122,1
1584780070179,1010216,1,730,116,0
1584780071179,1010976,1,726,111,0
1584780071679,1011476,1,494,111,0
1584780072186,1011976,1,480,109,0
1584780072679,1012496,1,516,111,0
1584780073179,1012976,1,476,111,1
1584780073679,1013476,1,486,111,1
1584780074181,1013976,1,486,111,1
1584780074679,1014496,1,498,111,1
1584780075179,1014976,1,472,111,1
1584780075680,1015476,1,492,117,1
1584780076180,1015976,1,492,122,1
1584780076680,1016476,1,478,123,1
1584780077179,1016976,1,492,122,1
1584780077679,1017476,1,490,123,1
1584780078180,1017976,1,492,123,1
1584780078679,1018476,1,480,123,1
1584780079180,1018996,1,506,122,1
1584780079685,1019476,1,474,123,1
1584780080179,1019976,1,496,122,1
1584780080679,1020456,1,464,123,1
1584780081179,1020996,1,528,122,1
1584780081680,1021536,1,520,121,1
1584780082180,1021996,1,456,122,1
1584780082680,1022396,1,394,124,1
1584780082680,1022656,1,252,131,0
1584780083182,1022956,1,304,136,0
1584780083679,1023476,1,504,136,0
1584780084179,1023976,1,486,136,0
1584780084679,1024476,1,488,136,1
1584780085180,1024996,1,510,135,1
1584780085680,1025476,1,466,136,1
