localTime,remoteTime,label,eda,eda_filtered
1584780023402,1053479,,4095,4095
1584780023402,1053699,,4095,4095
1584780023902,1053919,,4095,4095
1584780023902,1054139,,4095,4095
1584780023902,1054359,,4095,4095
1584780024403,1054579,,4095,4095
1584780024403,1054799,,4095,4095
1584780024902,1055019,,4095,4095
1584780024902,1055239,,4095,4095
1584780025401,1055458,,4095,4095
1584780025401,1055678,,4095,4095
1584780025903,1055898,,4095,4095
1584780025903,1056118,,4095,4095
1584780025903,1056338,,4095,4095
1584780026402,1056558,,4095,4095
1584780026402,1056778,,4095,4095
1584780026922,1056998,,4095,4095
1584780026922,1057218,,4095,4095
1584780027401,1057438,,4095,4095
1584780027401,1057658,,4095,4095
1584780027401,1057878,,4095,4095
1584780027902,1058098,,4095,4095
1584780027902,1058318,,4095,4095
1584780028401,1058538,,4095,4095
1584780028401,1058758,,4095,4095
1584780028902,1058978,,4095,4095
1584780028902,1059198,,4095,4095
1584780029401,1059418,,4095,4095
1584780029401,1059637,,4095,4095
1584780029401,1059857,,4095,4095
1584780029901,1060077,,4095,4095
1584780029901,1060297,,4095,4095
1584780030402,1060517,,4095,4095
1584780030402,1060737,,4095,4095
1584780030901,1060957,,4095,4095
1584780030901,1061177,,4095,4095
1584780031402,1061397,,4095,4095
1584780031402,1061617,,4095,4095
1584780031402,1061837,,4095,4095
1584780031900,1062057,,4095,4095
1584780031900,1062277,,4095,4095
1584780032403,1062497,,4095,4095
1584780032403,1062717,,4095,4095
1584780032899,1062937,,4095,4095
1584780032899,1063156,,4095,4095
1584780032899,1063376,,4095,4095
1584780033399,1063596,,4095,4095
1584780033399,1063816,,4095,4095
1584780033899,1064036,,4095,4095
1584780033899,1064256,,4095,4095
1584780034400,1064476,,4095,4095
1584780034400,1064696,,4095,4095
1584780034901,1064916,,4095,4095
1584780034901,1065136,,4095,4095
1584780034901,1065356,,4095,4095
1584780035400,1065576,,4095,4095
1584780035400,1065796,,4095,4095
1584780035899,1066016,,4095,4095
1584780035899,1066236,,4095,4095
1584780036399,1066456,,4095,4095
1584780036399,1066676,,4095,4095
1584780036901,1066896,,4095,4095
1584780036901,1067116,,4095,4095
1584780036901,1067336,,4095,4095
1584780037400,1067556,,4095,4095
1584780037400,1067776,,4095,4095
1584780037900,1067996,,4095,4095
1584780037900,1068216,,4095,4095
1584780038401,1068436,,4095,4095
1584780038401,1068656,,4095,4095
1584780038401,1068876,,4095,4095
