localTime,remoteTime,label,ibi,bpm,signalOK
1584780355789,1227532,1,2296,66,0
1584780358131,1229952,1,2170,57,0
1584780359937,1232272,1,2076,50,0
1584780362470,1234812,1,2276,45,0
1584780366917,1239112,1,930,64,0
1584780713199,1584968,1,704,85,0
1584780713413,1585688,1,650,85,0
1584780715913,1588288,1,2308,69,0
1584780718771,1590507,1,1964,60,0
1584780719918,1592086,1,1414,56,0
1584780721481,1593786,1,1516,52,0
1584780854912,1727044,1,538,111,0
1584780871910,1744044,1,302,198,0
1584780871910,1744304,1,252,202,0
1584780876410,1748824,1,804,74,0
1584780876910,1749344,1,482,77,0
1584780917910,1789984,1,2460,24,0
1584780921412,1793464,1,252,238,0
1584780923911,1796144,1,2422,127,0
1584780933910,1805964,1,1744,34,0
1584780935409,1807823,1,1672,34,0
1584780947908,1820322,1,776,77,0
1584780949408,1821442,1,1022,75,0
1584780950912,1823282,1,1652,67,0
1584780953407,1825821,1,2278,57,0
1584780976406,1848560,1,2256,26,0
1584780984906,1856940,1,1768,33,0
1584780988406,1860400,1,252,238,0
1584780998407,1870380,1,252,238,0
1584780998407,1870660,1,260,238,0
1584780998908,1870940,1,252,238,0
1584780999908,1871920,1,890,189,0
1584781000406,1872720,1,712,165,0
1584781001406,1873460,1,668,148,0
1584781001910,1874040,1,530,138,0
1584781002907,1875020,1,884,121,0
1584781132156,2004127,1,890,55,0
1584781132656,2004727,1,544,56,0
1584781132656,2005107,1,336,59,0
1584781133154,2005387,1,256,63,0
1584781133653,2005667,1,252,67,0
1584781133653,2006067,1,364,70,0
1584781135654,2007627,1,1404,66,0
1584781136156,2008607,1,876,79,0
1584781141152,2013366,1,668,89,0
1584781141657,2013846,1,440,93,0
1584781144152,2016166,1,2092,76,0
1584781145652,2017626,1,1308,70,0
1584781147652,2019646,1,1832,61,0
1584781148652,2020886,1,1114,59,0
1584781149653,2021626,1,670,59,0
1584781150653,2022626,1,902,57,0
1584781151652,2023666,1,946,56,0
1584781152653,2024626,1,854,55,0
1584781153652,2025626,1,904,54,1
1584781155652,2028086,1,2190,46,0
1584781157653,2029626,1,1400,49,1
1584781158652,2030646,1,930,51,0
1584781159653,2031626,1,874,55,0
1584781160153,2032206,1,524,58,0
1584781160651,2032626,1,376,60,0
1584781160651,2032906,1,258,64,0
1584781161152,2033426,1,458,68,0
1584781161652,2033766,1,304,73,0
1584781161652,2034066,1,272,79,1
1584781162154,2034506,1,408,103,1
1584781162653,2034946,1,392,125,1
1584781163652,2035626,1,618,133,0
1584781164152,2036366,1,674,140,0
1584781164653,2036986,1,558,139,0
1584781165652,2037666,1,620,131,0
1584781166152,2038566,1,802,117,0
1584781166652,2039086,1,482,116,0
1584781167153,2039446,1,326,116,0
1584781168152,2040126,1,612,109,0
1584781169152,2041146,1,928,99,0
1584781170154,2042526,1,1228,87,0
1584781171151,2043366,1,768,85,0
1584781171666,2043946,1,536,87,0
1584781172652,2044666,1,652,86,0
1584781174153,2046606,1,1740,74,0
1584781175755,2047846,1,1108,71,1
1584781177654,2049626,1,1622,63,0
1584781178656,2050906,1,1132,58,0
1584781179801,2051646,1,680,57,0
1584781183159,2055126,1,288,208,0
1584781183652,2055626,1,462,196,0
1584781185153,2057146,1,1360,145,0
1584781187653,2059706,1,2328,97,0
1584781190153,2062306,1,2340,73,0
1584781191653,2063846,1,1406,64,0
1584781192652,2064786,1,844,60,0
1584781193152,2065546,1,694,58,0
1584781194152,2066566,1,942,54,0
1584781195652,2068106,1,1380,49,0
1584781197156,2069466,1,1238,46,0
1584781198152,2070266,1,742,45,0
1584781200151,2072286,1,1852,43,0
1584781202153,2074246,1,1762,45,0
1584781203652,2075626,1,1262,49,0
1584781205152,2077466,1,1652,48,0
1584781206652,2078706,1,1114,47,0
1584781208152,2080246,1,1394,45,1
1584781209652,2082006,1,1598,42,0
1584781215153,2087326,1,1908,31,0
1584781216653,2089106,1,1598,31,1
1584781219152,2091586,1,2232,31,0
1584781220653,2093106,1,1360,32,0
1584781223152,2095126,1,1822,32,1
1584781224152,2096386,1,1136,33,0
1584781225153,2097126,1,682,36,0
1584781225153,2097586,1,412,40,0
1584781226661,2098626,1,934,42,0
1584781227652,2099626,1,906,46,1
1584781228161,2100406,1,696,50,1
1584781229153,2101286,1,796,54,1
1584781229655,2101906,1,554,64,0
1584781230153,2102286,1,342,72,0
1584781231168,2103126,1,756,83,0
1584781233657,2105626,1,2258,72,0
1584781235153,2107146,1,1354,66,1
1584781236161,2108166,1,924,63,0
1584781236661,2108786,1,554,65,0
1584781237158,2109406,1,550,68,0
1584781239654,2111966,1,2312,57,0
1584781242653,2114626,1,2372,50,0
1584781249652,2121966,1,268,223,0
1584781250657,2122966,1,920,180,0
1584781251667,2123806,1,758,157,0
1584781252652,2124626,1,750,139,0
1584781254152,2126126,1,1346,111,0
1584781258080,2129584,1,960,81,1
1584781259149,2131143,1,1414,70,0
1584781261177,2133303,1,1912,58,0
1584781263149,2135162,1,1656,54,0
1584781264151,2136582,1,1280,52,0
1584781265148,2137462,1,784,52,0
1584781266149,2138522,1,956,54,0
1584781268149,2140420,1,1696,50,0
1584781269649,2141620,1,1084,48,0
1584781271149,2143460,1,1660,44,0
1584781272649,2144620,1,1042,44,0
1584781273148,2145340,1,644,47,0
1584781273647,2145760,1,386,53,0
1584781274149,2146560,1,718,58,0
1584781274647,2147040,1,430,63,0
1584781275148,2147380,1,308,67,0
1584781275648,2147640,1,252,72,0
1584781275648,2147960,1,278,88,0
1584781277150,2149120,1,1052,88,0
1584781277649,2150040,1,834,101,0
1584781278647,2150620,1,518,110,0
1584781279147,2151120,1,452,114,0
1584781279648,2151620,1,456,113,0
1584781280151,2152120,1,462,119,0
1584781280151,2152500,1,350,120,0
1584781281147,2153120,1,576,114,0
1584781281651,2154000,1,808,103,0
1584781282646,2154740,1,676,97,0
1584781283647,2156080,1,1214,94,0
1584781285150,2157600,1,1374,87,0
1584781286146,2158480,1,824,83,0
1584781287148,2159160,1,626,81,0
1584781287148,2159580,1,376,82,0
1584781287647,2159860,1,252,84,0
1584781289146,2161500,1,1502,72,0
1584781290149,2162540,1,926,70,1
1584781291147,2163480,1,868,69,1
1584781292151,2164580,1,986,67,1
1584781296649,2168619,1,446,134,0
1584781297144,2169118,1,438,134,0
1584781297144,2169398,1,262,140,0
1584781297647,2169898,1,440,140,0
1584781298645,2171098,1,1074,122,0
1584781299648,2171998,1,832,113,0
1584781300644,2172618,1,556,111,0
1584781300644,2172978,1,334,113,0
1584781301660,2173618,1,574,111,0
1584781301660,2173998,1,344,113,0
1584781303146,2175118,1,1008,102,0
1584781303648,2175778,1,604,99,0
1584781304644,2176618,1,748,92,0
1584781305146,2177598,1,900,86,0
1584781306148,2178498,1,810,89,0
1584781307144,2179138,1,574,93,0
1584781307144,2179518,1,344,96,0
1584781308144,2180118,1,546,93,0
1584781308144,2180478,1,328,96,0
1584781309144,2181378,1,836,89,0
1584781309648,2181978,1,570,95,0
1584781310145,2182358,1,344,100,0
1584781310645,2182638,1,252,109,0
