localTime,remoteTime,label,ibi,bpm,signalOK
1584780050813,1252723,,456,127,1
1584780051314,1253223,,470,127,1
1584780051813,1253723,,472,127,1
1584780052314,1254223,,464,127,1
1584780052814,1254723,,468,127,1
1584780053314,1255223,,468,128,1
1584780053813,1255723,,478,127,1
1584780054313,1256223,,460,128,1
1584780054826,1256743,,482,127,1
1584780055314,1257223,,460,128,1
1584780055814,1257723,,470,127,1
1584780056327,1258223,,462,128,1
1584780056911,1258723,,466,128,1
1584780057314,1259223,,468,128,1
1584780057813,1259723,,468,128,1
1584780058313,1260223,,474,128,1
1584780058313,1260523,,284,133,0
1584780059314,1261243,,672,127,0
1584780059813,1261723,,446,128,0
1584780060314,1262223,,470,128,0
1584780060314,1262563,,328,132,0
1584780061314,1263243,,618,127,0
1584780061814,1263723,,464,127,1
1584780062313,1264223,,458,128,1
1584780062813,1264723,,480,127,1
1584780063313,1265223,,462,128,1
1584780063813,1265723,,472,123,1
1584780064314,1266223,,472,128,1
1584780064814,1266723,,468,127,1
1584780065314,1267243,1,486,127,1
1584780065813,1267723,1,460,123,1
1584780066317,1268223,1,472,127,1
1584780066814,1268723,1,458,128,1
1584780067314,1269243,1,484,127,1
1584780067813,1269723,1,462,127,1
1584780068314,1270223,1,472,127,1
1584780068814,1270723,1,468,127,1
1584780069313,1271223,1,472,127,1
1584780069814,1271723,1,464,127,1
1584780070313,1272223,1,472,128,1
1584780070814,1272723,1,474,127,1
1584780071314,1273223,1,466,127,1
1584780071813,1273743,1,478,127,1
1584780072313,1274223,1,454,128,1
1584780072813,1274723,1,476,127,1
1584780073314,1275223,1,466,127,1
1584780073813,1275723,1,466,128,1
1584780074313,1276243,1,490,127,1
1584780074814,1276723,1,452,127,1
1584780075313,1277243,1,482,127,1
1584780075814,1277723,1,454,128,1
1584780076313,1278223,1,478,127,1
1584780076814,1278723,1,454,128,1
1584780077314,1279223,1,474,127,1
1584780077814,1279723,1,470,128,1
1584780078316,1280223,1,468,128,1
1584780078814,1280723,1,470,127,1
1584780079313,1281223,1,464,128,1
1584780079813,1281723,1,476,127,1
1584780080313,1282223,1,462,128,1
1584780080813,1282723,1,474,127,1
1584780081314,1283223,1,470,128,1
1584780081814,1283723,1,466,127,1
1584780082314,1284243,1,486,127,1
1584780082813,1284723,1,460,127,1
1584780083314,1285223,1,472,127,1
1584780083814,1285723,1,460,127,1
1584780084314,1286223,1,474,127,1
1584780084813,1286723,1,464,128,1
1584780085314,1287223,1,466,127,1
1584780085814,1287723,1,474,127,1
1584780086313,1288223,1,466,128,1
1584780086813,1288723,1,468,127,1
1584780087313,1289223,1,468,128,1
1584780087814,1289723,1,472,128,1
1584780088314,1290223,1,468,128,1
1584780088815,1290723,1,476,127,1
1584780089316,1291223,1,460,128,1
1584780089813,1291723,1,474,127,1
1584780090313,1292223,1,468,127,1
1584780090813,1292723,1,466,128,1
1584780091314,1293223,1,470,127,1
1584780091813,1293723,1,466,128,1
1584780092313,1294223,1,470,127,1
1584780092813,1294723,1,464,128,1
1584780093313,1295223,1,484,127,1
1584780093814,1295723,1,458,128,1
1584780094314,1296223,1,472,127,1
1584780094816,1296723,1,476,127,1
1584780095314,1297223,1,462,128,1
1584780095813,1297723,1,472,127,1
1584780096313,1298223,1,460,128,1
1584780096814,1298723,1,476,127,1
1584780097314,1299223,1,460,128,1
1584780097816,1299723,1,470,127,1
1584780098313,1300223,1,470,128,1
1584780098815,1300723,1,468,128,1
1584780099313,1301223,1,466,128,1
1584780099813,1301723,1,472,128,1
1584780099813,1302123,1,368,131,1
1584780100814,1302723,1,564,128,1
1584780101313,1303223,1,482,127,1
1584780101814,1303723,1,462,128,1
1584780102313,1304223,1,470,127,1
1584780102814,1304723,1,468,127,1
1584780103313,1305223,1,466,128,1
1584780103814,1305723,1,466,128,1
1584780104314,1306223,1,466,128,1
1584780104817,1306723,1,474,128,1
1584780105314,1307223,1,468,125,1
1584780105813,1307723,1,480,127,1
1584780106315,1308223,1,458,128,1
1584780106813,1308723,1,468,128,1
1584780107315,1309223,1,462,128,1
1584780107814,1309723,1,470,128,1
1584780108314,1310243,1,492,127,1
1584780108814,1310723,1,450,128,1
1584780109313,1311223,1,470,127,1
1584780109813,1311723,1,460,128,1
1584780110314,1312243,1,480,127,1
1584780110814,1312723,1,454,128,1
1584780111313,1313223,1,476,128,1
1584780111815,1313723,1,468,128,1
1584780112317,1314223,1,466,128,1
1584780112814,1314723,1,472,128,1
1584780113314,1315223,1,472,128,1
1584780113814,1315723,1,476,127,1
1584780114314,1316223,1,456,128,1
1584780114814,1316743,1,488,127,1
1584780115313,1317223,1,456,128,1
1584780115813,1317723,1,470,127,1
1584780116314,1318223,1,468,127,1
1584780116814,1318723,1,468,127,1
1584780117314,1319223,1,464,127,1
1584780117814,1319723,1,468,128,1
1584780118313,1320223,1,476,127,1
1584780118313,1320523,1,286,133,0
1584780119312,1321243,1,674,127,0
1584780119812,1321722,1,446,128,0
1584780120312,1322222,1,464,128,0
1584780120812,1322722,1,468,128,1
1584780121313,1323222,1,462,128,1
1584780121813,1323722,1,476,128,1
1584780122313,1324222,1,466,128,1
1584780122812,1324722,1,478,127,1
1584780123312,1325222,1,464,128,1
1584780123812,1325722,1,468,123,1
1584780124312,1326222,1,470,128,1
1584780124812,1326722,1,470,128,1
1584780125313,1327242,1,486,127,1
1584780125811,1327722,1,450,127,1
1584780126312,1328221,1,474,127,1
1584780126811,1328721,1,454,128,1
1584780127311,1329241,1,482,127,1
1584780127811,1329721,1,450,128,1
1584780128312,1330221,1,468,128,1
1584780128812,1330721,1,468,128,1
1584780129311,1331221,1,464,128,1
1584780129811,1331721,1,470,128,1
1584780130311,1332221,1,462,129,1
1584780130811,1332721,1,474,128,1
1584780131311,1333221,1,460,129,1
1584780131812,1333741,1,484,128,1
1584780132312,1334221,1,452,129,1
1584780132812,1334721,1,468,128,1
1584780133312,1335221,1,468,128,1
1584780133811,1335721,1,470,128,1
1584780134311,1336241,1,498,127,1
1584780134812,1336721,1,446,128,1
1584780135312,1337241,1,478,127,1
1584780135812,1337721,1,444,128,1
1584780136315,1338221,1,468,128,1
1584780136811,1338721,1,468,128,1
1584780137312,1339221,1,466,128,1
1584780137811,1339721,1,462,128,1
1584780138311,1340221,1,468,128,1
1584780138811,1340721,1,470,128,1
1584780139312,1341221,1,466,129,1
1584780139812,1341721,1,480,128,1
1584780140312,1342221,1,458,129,1
1584780140812,1342721,1,468,128,1
1584780141311,1343221,1,468,128,1
1584780141812,1343721,1,464,128,1
1584780142312,1344241,1,484,128,1
1584780142812,1344721,1,452,128,1
1584780143311,1345221,1,472,128,1
