localTime,remoteTime,label,ibi,bpm,signalOK
1584780051659,1195723,,486,123,1
1584780052159,1196223,,494,123,1
1584780052659,1196723,,480,123,1
1584780053159,1197223,,488,123,1
1584780053661,1197723,,490,123,1
1584780054159,1198223,,482,123,1
1584780054668,1198723,,488,123,1
1584780055178,1199223,,486,123,1
1584780055662,1199723,,494,122,1
1584780056159,1200223,,480,123,1
1584780056884,1200643,,404,125,1
1584780057162,1201223,,572,123,1
1584780057659,1201723,,494,123,1
1584780058159,1202243,,490,122,1
1584780058659,1202723,,480,123,1
1584780059159,1203223,,488,123,1
1584780059659,1203723,,482,123,1
1584780060159,1204223,,490,123,1
1584780060659,1204723,,480,123,1
1584780061159,1205243,,494,123,1
1584780061660,1205723,,476,121,1
1584780062159,1206223,,486,123,1
1584780062660,1206723,,490,123,1
1584780063159,1207223,,486,123,1
1584780063664,1207723,,490,123,1
1584780064160,1208223,,484,123,1
1584780064659,1208723,,492,123,1
1584780065160,1209223,,482,123,1
1584780065662,1209723,1,490,123,1
1584780066159,1210223,1,484,123,1
1584780066659,1210723,1,488,123,1
1584780067159,1211223,1,486,123,1
1584780067659,1211723,1,486,123,1
1584780068159,1212223,1,486,123,1
1584780068658,1212723,1,488,123,1
1584780069159,1213223,1,498,122,1
1584780069659,1213723,1,478,123,1
1584780070159,1214223,1,492,123,1
1584780070660,1214723,1,484,123,1
1584780071158,1215223,1,482,123,1
1584780071660,1215723,1,486,123,1
1584780072159,1216223,1,484,123,1
1584780072659,1216723,1,492,123,1
1584780073159,1217223,1,482,123,1
1584780073660,1217723,1,494,123,1
1584780074160,1218223,1,478,123,1
1584780074659,1218723,1,496,123,1
1584780075159,1219223,1,482,123,1
1584780075659,1219723,1,486,123,1
1584780076159,1220223,1,488,123,1
1584780076659,1220723,1,492,123,1
1584780077159,1221223,1,488,123,1
1584780077659,1221723,1,480,123,1
1584780078160,1222243,1,500,122,1
1584780078659,1222723,1,472,123,1
1584780079159,1223223,1,488,123,1
1584780079675,1223723,1,488,123,1
1584780080159,1224223,1,486,123,1
1584780080659,1224743,1,510,122,1
1584780081160,1225223,1,466,123,1
1584780081660,1225743,1,492,123,1
1584780082159,1226223,1,470,123,1
1584780082661,1226743,1,498,123,1
1584780083159,1227223,1,476,123,1
1584780083658,1227723,1,494,123,1
1584780084159,1228223,1,488,123,1
1584780084660,1228723,1,484,123,1
1584780085159,1229263,1,518,122,1
1584780085660,1229723,1,462,123,1
1584780086159,1230243,1,496,123,1
1584780086659,1230723,1,468,123,1
1584780087159,1231223,1,488,123,1
1584780087659,1231723,1,490,123,1
1584780088162,1232223,1,480,123,1
1584780088659,1232723,1,490,123,1
1584780089164,1233223,1,482,123,1
1584780089659,1233723,1,492,123,1
1584780090159,1234223,1,482,124,1
1584780090659,1234723,1,496,123,1
1584780091160,1235223,1,478,123,1
1584780091659,1235723,1,492,123,1
1584780092159,1236223,1,486,123,1
1584780092680,1236723,1,484,123,1
1584780093159,1237243,1,504,122,1
1584780093659,1237723,1,476,123,1
1584780094159,1238243,1,490,122,1
1584780094659,1238723,1,478,123,1
1584780095159,1239243,1,494,123,1
1584780095659,1239723,1,476,123,1
1584780096159,1240223,1,490,123,1
1584780096659,1240723,1,482,123,1
1584780097158,1241223,1,482,123,1
1584780097659,1241723,1,490,123,1
1584780098158,1242223,1,482,123,1
1584780098659,1242723,1,494,123,1
1584780099159,1243223,1,478,123,1
1584780099660,1243743,1,500,123,1
1584780100159,1244223,1,474,123,1
1584780100659,1244723,1,490,123,1
1584780101159,1245223,1,488,123,1
1584780101659,1245723,1,486,123,1
1584780102159,1246243,1,514,122,1
1584780102659,1246723,1,466,123,1
1584780103159,1247243,1,498,122,1
1584780103668,1247723,1,468,123,1
1584780104159,1248223,1,488,123,1
1584780104659,1248723,1,488,123,1
1584780105159,1249223,1,484,123,1
1584780105659,1249723,1,486,123,1
1584780106159,1250223,1,486,123,1
1584780106659,1250723,1,488,123,1
1584780107159,1251223,1,484,124,1
1584780107659,1251743,1,496,123,1
1584780108159,1252223,1,478,123,1
1584780108659,1252723,1,490,123,1
1584780109160,1253223,1,490,123,1
1584780109663,1253723,1,486,123,1
1584780110159,1254223,1,492,123,1
1584780110659,1254723,1,482,123,1
1584780111158,1255223,1,492,123,1
1584780111659,1255723,1,482,123,1
1584780112159,1256243,1,496,122,1
1584780112659,1256723,1,474,123,1
1584780113159,1257223,1,492,123,1
1584780113659,1257723,1,488,123,1
1584780114159,1258223,1,482,123,1
1584780114659,1258723,1,482,123,1
1584780115159,1259223,1,468,124,1
1584780115659,1259723,1,482,124,1
1584780116159,1260223,1,474,124,1
1584780116659,1260703,1,450,125,1
1584780117161,1261223,1,492,125,1
1584780117660,1261723,1,478,125,1
1584780118159,1262243,1,482,125,1
1584780118659,1262723,1,480,125,1
1584780119159,1263223,1,488,125,1
1584780119658,1263723,1,464,126,1
1584780120160,1264223,1,478,126,1
1584780120659,1264723,1,464,126,1
1584780121159,1265243,1,488,126,1
1584780121660,1265723,1,462,125,1
1584780122159,1266223,1,474,126,1
1584780122660,1266723,1,472,126,1
1584780123159,1267223,1,472,126,1
1584780123659,1267723,1,474,126,1
1584780124159,1268223,1,468,127,1
1584780124659,1268723,1,482,126,1
1584780125159,1269223,1,466,127,1
1584780125659,1269723,1,478,126,1
1584780126159,1270223,1,472,127,1
1584780126659,1270723,1,476,126,1
1584780127159,1271223,1,472,126,1
1584780127659,1271723,1,470,126,1
1584780128160,1272223,1,474,126,1
1584780128659,1272723,1,474,126,1
1584780129159,1273243,1,482,126,1
1584780129662,1273723,1,464,127,1
1584780130159,1274223,1,480,126,1
1584780130662,1274723,1,472,126,1
1584780131159,1275223,1,470,126,1
1584780131659,1275723,1,468,127,1
1584780132159,1276223,1,470,127,1
1584780132659,1276723,1,480,126,1
1584780133158,1277223,1,464,127,1
1584780133659,1277723,1,478,127,1
1584780134159,1278223,1,466,127,1
1584780134678,1278723,1,480,127,1
1584780135159,1279223,1,478,127,1
1584780135659,1279723,1,464,127,1
1584780136160,1280223,1,472,127,1
1584780136659,1280723,1,468,127,1
1584780137159,1281223,1,478,127,1
1584780137659,1281723,1,464,127,1
1584780138161,1282243,1,486,126,1
1584780138663,1282723,1,464,127,1
1584780139159,1283223,1,474,127,1
1584780139659,1283723,1,468,127,1
1584780140159,1284223,1,472,127,1
1584780140659,1284763,1,504,126,1
1584780141159,1285223,1,452,126,1
1584780141660,1285823,1,562,124,1
1584780142158,1286223,1,380,127,1
1584780142660,1286763,1,492,126,1
1584780143159,1287223,1,448,127,1
1584780143680,1287723,1,466,127,1
1584780144160,1288243,1,484,127,1
1584780144660,1288723,1,466,127,1
1584780145159,1289223,1,478,126,1
1584780145659,1289723,1,462,127,1
1584780146159,1290243,1,480,127,1
1584780146660,1290723,1,462,130,1
1584780147159,1291223,1,476,127,1
1584780147658,1291723,1,474,127,1
1584780148162,1292223,1,468,127,1
1584780148659,1292723,1,474,127,1
1584780149159,1293223,1,472,127,1
1584780149659,1293723,1,478,127,1
1584780150159,1294223,1,468,127,1
1584780150659,1294743,1,486,126,1
1584780151159,1295223,1,458,127,1
1584780151659,1295723,1,476,126,1
1584780152160,1296223,1,472,127,1
1584780152659,1296723,1,470,127,1
1584780153161,1297223,1,470,127,1
1584780153660,1297723,1,474,127,1
1584780154160,1298223,1,478,126,1
1584780154666,1298723,1,468,127,1
1584780155161,1299243,1,486,126,1
1584780155659,1299723,1,458,127,1
1584780156159,1300223,1,472,127,1
1584780156659,1300723,1,472,127,1
1584780157159,1301223,1,468,127,1
1584780157660,1301723,1,468,127,1
1584780158159,1302223,1,472,127,1
1584780158660,1302723,1,476,127,1
1584780159159,1303223,1,466,127,1
1584780159659,1303723,1,472,127,1
1584780160159,1304223,1,472,127,1
1584780160659,1304723,1,466,127,1
1584780161159,1305223,1,470,127,1
1584780161660,1305723,1,468,127,1
1584780162159,1306223,1,478,127,1
1584780162660,1306723,1,468,127,1
1584780163159,1307243,1,482,127,1
1584780163659,1307723,1,462,127,1
1584780164159,1308223,1,476,127,1
1584780164664,1308723,1,466,127,1
1584780165159,1309223,1,472,127,1
1584780165659,1309723,1,460,127,1
1584780166159,1310223,1,466,127,1
1584780166659,1310723,1,468,127,1
1584780167160,1311223,1,466,128,1
1584780167659,1311743,1,478,127,1
1584780168159,1312223,1,454,128,1
1584780168660,1312723,1,466,128,1
1584780169159,1313223,1,460,129,1
1584780169659,1313723,1,458,129,1
1584780170159,1314223,1,464,129,1
1584780170659,1314723,1,466,129,1
1584780171159,1315223,1,466,129,1
1584780171660,1315723,1,460,129,1
1584780172161,1316243,1,474,129,1
1584780172659,1316723,1,452,129,1
1584780173160,1317223,1,466,129,1
1584780173659,1317723,1,464,129,1
