localTime,remoteTime,label,eda,eda_filtered
1584780022954,1003784,,4095,4095
1584780022954,1004004,,4095,4095
1584780023453,1004224,,4095,4095
1584780023453,1004444,,4095,4095
1584780023954,1004664,,4095,4095
1584780023954,1004884,,4095,4095
1584780023954,1005104,,4095,4095
1584780024454,1005324,,4095,4095
1584780024454,1005544,,4095,4095
1584780024952,1005764,,4095,4095
1584780024952,1005984,,4095,4095
1584780025452,1006204,,4095,4095
1584780025452,1006424,,4095,4095
1584780025953,1006644,,4095,4095
1584780025953,1006864,,4095,4095
1584780025953,1007084,,4095,4095
1584780026452,1007304,,4095,4095
1584780026452,1007524,,4095,4095
1584780026953,1007744,,4095,4095
1584780026953,1007964,,4095,4095
1584780027452,1008184,,4095,4095
1584780027452,1008404,,4095,4095
1584780027452,1008624,,4095,4095
1584780027953,1008844,,4095,4095
1584780027953,1009064,,4095,4095
1584780028451,1009284,,4095,4095
1584780028451,1009504,,4095,4095
1584780028953,1009724,,4095,4095
1584780028953,1009944,,4095,4095
1584780029451,1010164,,4095,4095
1584780029451,1010384,,4095,4095
1584780029451,1010604,,4095,4095
1584780029952,1010824,,4095,4095
1584780029952,1011044,,4095,4095
1584780030452,1011264,,4095,4095
1584780030452,1011484,,4095,4095
1584780030953,1011704,,4095,4095
1584780030953,1011924,,4095,4095
1584780031453,1012144,,4095,4095
1584780031453,1012364,,4095,4095
1584780031453,1012584,,4095,4095
1584780031956,1012804,,4095,4095
1584780031956,1013024,,4095,4095
1584780032457,1013244,,4095,4095
1584780032457,1013464,,4095,4095
1584780032952,1013684,,4095,4095
1584780032952,1013904,,4095,4095
1584780032952,1014124,,4095,4095
1584780033453,1014344,,4095,4095
1584780033453,1014564,,4095,4095
1584780033953,1014784,,4095,4095
1584780033953,1015004,,4095,4095
1584780034452,1015224,,4095,4095
1584780034452,1015444,,4095,4095
1584780034953,1015664,,4095,4095
1584780034953,1015884,,4095,4095
1584780034953,1016104,,4095,4095
1584780035455,1016324,,4095,4095
1584780035455,1016544,,4095,4095
1584780035951,1016764,,4095,4095
1584780035951,1016984,,4095,4095
1584780036452,1017204,,4095,4095
1584780036452,1017424,,4095,4095
1584780036952,1017644,,4095,4095
1584780036952,1017864,,4095,4095
1584780036952,1018084,,4095,4095
1584780037457,1018304,,4095,4095
1584780037457,1018524,,4095,4095
1584780037952,1018744,,4095,4095
1584780037952,1018964,,4095,4095
1584780038452,1019184,,4095,4095
1584780038452,1019404,,4095,4095
1584780038452,1019624,,4095,4095
1584780038952,1019844,,4095,4095
1584780038952,1020064,,4095,4095
1584780039455,1020284,,4095,4095
1584780039455,1020504,,4095,4095
1584780039953,1020724,,4095,4095
1584780039953,1020944,,4095,4095
1584780040453,1021164,,4095,4095
1584780040453,1021384,,4095,4095
1584780040453,1021604,,4095,4095
1584780040952,1021824,,4095,4095
1584780040952,1022044,,4095,4095
1584780041452,1022264,,4095,4095
1584780041452,1022484,,4095,4095
1584780041952,1022704,,4095,4095
1584780041952,1022924,,4095,4095
1584780042453,1023144,,4095,4095
1584780042453,1023364,,4095,4095
1584780042453,1023584,,4095,4095
1584780042952,1023804,,4095,4095
1584780042952,1024024,,4095,4095
1584780043452,1024244,,4095,4095
