localTime,remoteTime,label,eda,eda_filtered
1584780023172,878168,,4095,4095
1584780023172,878388,,4095,4095
1584780023172,878608,,4095,4095
1584780023675,878828,,4095,4095
1584780023675,879048,,4095,4095
1584780024174,879268,,4095,4095
1584780024174,879488,,4095,4095
1584780024672,879708,,4095,4095
1584780024672,879928,,4095,4095
1584780025174,880148,,4095,4095
1584780025174,880368,,4095,4095
1584780025174,880588,,4095,4095
1584780025675,880808,,4095,4095
1584780025675,881028,,4095,4095
1584780026174,881248,,4095,4095
1584780026174,881468,,4095,4095
1584780026672,881688,,4095,4095
1584780026672,881908,,4095,4095
1584780026672,882128,,4095,4095
1584780027174,882348,,4095,4095
1584780027174,882568,,4095,4095
1584780027671,882788,,4095,4095
1584780027671,883008,,4095,4095
1584780028183,883228,,4095,4095
1584780028183,883448,,4095,4095
1584780028672,883668,,4095,4095
1584780028672,883888,,4095,4095
1584780028672,884108,,4095,4095
1584780029174,884328,,4095,4095
1584780029174,884548,,4095,4095
1584780029673,884768,,4095,4095
1584780029673,884988,,4095,4095
1584780030174,885208,,4095,4095
1584780030174,885428,,4095,4095
1584780030674,885648,,4095,4095
1584780030674,885868,,4095,4095
1584780030674,886088,,4095,4095
1584780031175,886308,,4095,4095
1584780031175,886528,,4095,4095
1584780031674,886748,,4095,4095
1584780031674,886968,,4095,4095
1584780032171,887188,,4095,4095
1584780032171,887408,,4095,4095
1584780032171,887628,,4095,4095
1584780032672,887848,,4095,4095
1584780032672,888068,,4095,4095
1584780033174,888288,,4095,4095
1584780033174,888508,,4095,4095
1584780033676,888728,,4095,4095
1584780033676,888948,,4095,4095
1584780034172,889168,,4095,4095
1584780034172,889388,,4095,4095
1584780034172,889608,,4095,4095
1584780034674,889828,,4095,4095
1584780034674,890048,,4095,4095
1584780035172,890268,,4095,4095
1584780035172,890488,,4095,4095
1584780035676,890708,,4095,4095
1584780035676,890928,,4095,4095
1584780036172,891148,,4095,4095
1584780036172,891368,,4095,4095
1584780036172,891588,,4095,4095
1584780036672,891808,,4095,4095
1584780036672,892028,,4095,4095
1584780037173,892248,,4095,4095
1584780037173,892468,,4095,4095
1584780037675,892688,,4095,4095
1584780037675,892908,,4095,4095
1584780037675,893128,,4095,4095
1584780038175,893348,,4095,4095
1584780038175,893568,,4095,4095
1584780038674,893788,,4095,4095
1584780038674,894008,,4095,4095
1584780039174,894228,,4095,4095
1584780039174,894448,,4095,4095
1584780039672,894668,,4095,4095
1584780039672,894888,,4095,4095
1584780039672,895108,,4095,4095
1584780040172,895328,,4095,4095
1584780040172,895548,,4095,4095
1584780040674,895768,,4095,4095
