localTime,remoteTime,label,eda,eda_filtered
1584780022735,1197935,,4095,4095
1584780022735,1198155,,4095,4095
1584780022735,1198375,,4095,4095
1584780023225,1198595,,4095,4095
1584780023225,1198814,,4095,4095
1584780023725,1199034,,4095,4095
1584780023725,1199254,,4095,4095
1584780024223,1199474,,4095,4095
1584780024223,1199694,,4095,4095
1584780024724,1199914,,4095,4095
1584780024724,1200134,,4095,4095
1584780024724,1200354,,4095,4095
1584780025224,1200574,,4095,4095
1584780025224,1200794,,4095,4095
1584780025727,1201014,,4095,4095
1584780025727,1201234,,4095,4095
1584780026226,1201454,,4095,4095
1584780026226,1201674,,4095,4095
1584780026723,1201894,,4095,4095
1584780026723,1202114,,4095,4095
1584780026723,1202334,,4095,4095
1584780027226,1202554,,4095,4095
1584780027226,1202774,,4095,4095
1584780027725,1202994,,4095,4095
1584780027725,1203214,,4095,4095
1584780028224,1203434,,4095,4095
1584780028224,1203654,,4095,4095
1584780028224,1203874,,4095,4095
1584780028723,1204094,,4095,4095
1584780028723,1204314,,4095,4095
1584780029225,1204534,,4095,4095
1584780029225,1204754,,4095,4095
1584780029726,1204974,,4095,4095
1584780029726,1205194,,4095,4095
1584780030224,1205414,,4095,4095
1584780030224,1205634,,4095,4095
1584780030224,1205854,,4095,4095
1584780030725,1206074,,4095,4095
1584780030725,1206294,,4095,4095
1584780031224,1206514,,4095,4095
1584780031224,1206734,,4095,4095
1584780031723,1206954,,4095,4095
1584780031723,1207174,,4095,4095
1584780032224,1207394,,4095,4095
1584780032224,1207614,,4095,4095
1584780032224,1207834,,4095,4095
1584780032724,1208054,,4095,4095
1584780032724,1208274,,4095,4095
1584780033224,1208494,,4095,4095
1584780033224,1208714,,4095,4095
1584780033726,1208934,,4095,4095
1584780033726,1209154,,4095,4095
1584780033726,1209374,,4095,4095
1584780034225,1209594,,4095,4095
1584780034225,1209814,,4095,4095
1584780034729,1210034,,4095,4095
1584780034729,1210254,,4095,4095
1584780035225,1210474,,4095,4095
1584780035225,1210694,,4095,4095
1584780035725,1210914,,4095,4095
1584780035725,1211134,,4095,4095
1584780035725,1211354,,4095,4095
1584780036224,1211574,,4095,4095
1584780036224,1211794,,4095,4095
1584780036728,1212014,,4095,4095
1584780036728,1212234,,4095,4095
1584780037225,1212454,,4095,4095
1584780037225,1212674,,4095,4095
1584780037724,1212894,,4095,4095
1584780037724,1213114,,4095,4095
1584780037724,1213334,,4095,4095
1584780038225,1213554,,4095,4095
1584780038225,1213774,,4095,4095
1584780038725,1213994,,4095,4095
1584780038725,1214214,,4095,4095
1584780039225,1214434,,4095,4095
1584780039225,1214654,,4095,4095
1584780039225,1214874,,4095,4095
1584780039724,1215094,,4095,4095
1584780039724,1215314,,4095,4095
1584780040223,1215534,,4095,4095
1584780040223,1215754,,4095,4095
1584780040724,1215974,,4085,4093.8
1584780040724,1216194,,4080,4086.86
1584780041224,1216414,,4083,4085.69
1584780041224,1216634,,4064,4083.4
1584780041224,1216854,,4043,4068.28
1584780041724,1217074,,4033,4055.12
1584780041724,1217294,,4023,4041.71
1584780042224,1217514,,4017,4031.21
1584780042224,1217734,,4009,4021.55
1584780042729,1217954,,4000,4013.05
1584780042729,1218174,,3993,4007.08
1584780043224,1218394,,3969,3997.45
1584780043224,1218614,,3980,3987.66
1584780043224,1218834,,3968,3980.76
1584780043724,1219054,,3957,3972.23
1584780043724,1219274,,3958,3964.62
