localTime,remoteTime,label,ibi,bpm,signalOK
1584780051650,909993,,518,153,0
1584780052151,910493,,498,145,1
1584780052649,910973,,464,138,1
1584780053149,911473,,504,135,1
1584780053149,911873,,392,131,1
1584780053649,912373,,482,125,1
1584780054149,912693,,318,129,0
1584780054663,913173,,460,130,0
1584780055149,913473,,288,130,0
1584780055652,913973,,502,135,0
1584780056149,914493,,494,136,1
1584780056149,914853,,370,140,1
1584780056881,915233,,356,144,1
1584780057150,915493,,252,153,0
1584780057650,915953,,464,150,0
1584780058152,916433,,464,151,0
1584780058152,916713,,278,153,1
1584780059149,917493,,760,142,0
1584780059650,917973,,474,136,0
1584780060150,918673,,682,130,0
1584780061150,919493,,796,122,0
1584780061650,919993,,502,119,0
1584780062150,920793,,774,110,0
1584780062649,921293,,488,105,0
1584780063649,921953,,660,102,0
1584780064151,922473,1,500,101,1
1584780065151,923473,1,972,90,0
1584780065651,924072,1,584,93,0
1584780066151,924472,1,404,94,0
1584780066649,924952,1,468,97,0
1584780067149,925792,1,834,97,0
1584780068149,926492,1,664,94,0
1584780068651,926952,1,468,99,0
1584780069150,927472,1,508,99,0
1584780070152,928472,1,978,94,0
1584780071150,929472,1,976,87,0
1584780071650,930212,1,730,90,0
1584780072650,930992,1,756,88,1
1584780073149,931472,1,462,87,0
1584780073650,932092,1,626,85,0
1584780074149,932492,1,376,91,0
1584780074649,933132,1,630,92,0
1584780075150,933512,1,380,93,0
1584780075649,933972,1,454,94,0
1584780075649,934292,1,316,105,0
1584780076151,934852,1,544,113,0
1584780077150,935492,1,624,116,0
1584780077649,935952,1,452,123,0
1584780078151,936592,1,632,119,0
1584780078650,937312,1,698,117,0
1584780080150,938492,1,1152,102,0
1584780081650,939992,1,1470,89,0
1584780082649,940972,1,964,82,0
1584780083649,941952,1,966,76,0
1584780084149,942552,1,580,74,0
1584780084650,942972,1,422,75,0
1584780085650,943972,1,976,72,0
1584780086649,944972,1,974,67,0
1584780087152,945552,1,584,68,0
1584780087651,945972,1,406,70,0
1584780088156,946472,1,484,76,0
1584780088650,946972,1,496,87,0
1584780088650,947272,1,298,97,0
1584780089159,947532,1,252,109,0
1584780089651,947972,1,420,112,0
1584780090149,948472,1,500,111,0
1584780090649,949152,1,656,118,0
1584780091147,949651,1,488,131,0
1584780091650,949971,1,318,139,0
1584780092150,950511,1,526,135,0
1584780092647,951271,1,752,127,0
1584780093150,951791,1,496,127,0
1584780093650,952091,1,298,127,0
1584780094149,952511,1,400,123,0
1584780094149,952751,1,252,128,0
1584780096149,954631,1,1836,99,0
1584780097650,956291,1,1620,85,0
1584780099149,957411,1,1100,79,0
1584780100150,958571,1,1126,71,0
1584780100650,959291,1,710,69,0
1584780102150,960791,1,1462,64,0
1584780104651,962931,1,2084,55,0
1584780106648,965371,1,2384,46,0
1584780108151,966831,1,1430,42,0
1584780115647,974270,1,1306,45,0
1584780117145,975410,1,1104,46,0
1584780123146,981469,1,510,117,0
1584780123146,981789,1,308,122,0
1584780124145,982449,1,660,119,0
1584780125144,983449,1,974,108,0
1584780126145,984448,1,978,100,0
1584780127144,985448,1,982,93,0
1584780128145,986488,1,1008,86,1
1584780128645,987108,1,604,85,0
1584780129147,987808,1,698,82,0
1584780131144,989448,1,1596,72,0
1584780132144,990408,1,958,68,0
1584780134144,992468,1,2008,57,0
1584780136644,994988,1,2476,48,0
1584780138646,997188,1,2156,44,0
1584780141144,999448,1,2216,40,0
1584780142645,1000948,1,1474,39,0
1584780143145,1001848,1,884,39,0
1584780144145,1002468,1,606,39,0
1584780144145,1002868,1,392,40,0
1584780145144,1003468,1,580,43,0
1584780146645,1004948,1,1458,42,0
1584780148645,1006968,1,1976,42,0
1584780152644,1011328,1,838,71,0
1584780153645,1011968,1,624,73,0
1584780154145,1012488,1,510,76,0
1584780154650,1012948,1,454,80,0
1584780155144,1013468,1,512,84,0
1584780155645,1013968,1,486,88,1
1584780156144,1014448,1,474,93,1
1584780156645,1015208,1,738,95,0
1584780157144,1015648,1,442,101,0
1584780157644,1015948,1,290,111,0
1584780158144,1016488,1,528,118,0
1584780160145,1018448,1,1918,94,0
1584780161644,1019948,1,1462,82,0
1584780162645,1020948,1,980,76,0
1584780163149,1021648,1,690,75,0
1584780164145,1022448,1,782,72,0
1584780164645,1023188,1,726,70,0
1584780165644,1023948,1,734,70,0
1584780166144,1024668,1,704,68,1
1584780167145,1025468,1,786,64,1
1584780167645,1026208,1,728,63,1
1584780168152,1026648,1,436,74,0
1584780168644,1026928,1,270,87,0
1584780170145,1028868,1,1892,77,0
1584780172648,1031348,1,2404,63,0
1584780176144,1034548,1,252,238,0
1584780177645,1036268,1,1694,151,0
1584780178644,1037308,1,1016,127,0
1584780179645,1037928,1,610,118,0
1584780180150,1038688,1,746,107,0
1584780181145,1039508,1,788,98,0
1584780181644,1040288,1,768,90,0
1584780182643,1041028,1,720,84,1
1584780184145,1042687,1,1626,70,0
1584780185144,1043687,1,976,65,1
1584780185643,1044307,1,618,62,0
1584780189644,1048267,1,794,75,0
1584780190644,1048887,1,622,77,0
1584780192643,1051367,1,2414,63,0
1584780194143,1052847,1,1448,59,1
1584780196144,1054467,1,1574,55,1
1584780197144,1055427,1,950,54,0
1584780197644,1056027,1,572,55,0
1584780197644,1056367,1,344,58,0
1584780201143,1059827,1,348,172,0
1584780203143,1061727,1,1866,120,0
1584780205143,1063387,1,1610,95,0
1584780206650,1065267,1,1832,77,0
1584780208643,1067167,1,1850,64,0
1584780212144,1070867,1,730,82,0
1584780213143,1071687,1,808,81,0
1584780214145,1072467,1,764,80,0
1584780214646,1073307,1,822,80,0
1584780215145,1073827,1,494,82,0
1584780217144,1075567,1,1708,72,0
1584780218144,1076687,1,1088,69,1
1584780218650,1077347,1,652,70,0
1584780219144,1077747,1,392,73,0
1584780219644,1078007,1,252,77,0
1584780220144,1078827,1,798,77,0
1584780220644,1079327,1,478,80,1
1584780221143,1079607,1,286,86,0
1584780221643,1080267,1,644,88,0
1584780222644,1081087,1,798,84,0
1584780229143,1087427,1,1760,34,0
1584780232144,1090787,1,316,189,0
1584780232643,1091147,1,344,188,0
1584780233145,1091527,1,374,185,0
1584780233644,1091967,1,430,178,0
1584780234144,1092467,1,500,169,0
1584780234643,1092987,1,508,160,0
1584780235145,1093447,1,440,155,0
1584780236144,1094607,1,1148,127,0
1584780237144,1095467,1,830,115,0
1584780237644,1095967,1,500,111,0
1584780238144,1096487,1,500,107,0
1584780238643,1097087,1,590,103,0
1584780239144,1097467,1,378,103,0
1584780240145,1098467,1,968,94,0
1584780240644,1099067,1,580,93,0
1584780241644,1099967,1,880,88,0
1584780242145,1100507,1,530,86,0
1584780242145,1100827,1,320,98,0
1584780243145,1101467,1,614,102,0
1584780243145,1101827,1,368,104,0
1584780244145,1102447,1,600,103,0
1584780245144,1103447,1,982,96,0
1584780245644,1104207,1,728,91,0
1584780246644,1104967,1,750,94,1
1584780247144,1105467,1,484,96,0
1584780247144,1105867,1,406,103,0
1584780248144,1106747,1,858,98,0
1584780249144,1107487,1,710,92,0
1584780249643,1107987,1,484,94,0
1584780249643,1108347,1,368,94,0
1584780250644,1108967,1,602,94,0
1584780251144,1109467,1,484,102,1
1584780251644,1109947,1,470,106,1
1584780253144,1111447,1,1472,94,0
1584780253644,1112347,1,884,89,0
1584780254643,1112967,1,592,86,0
1584780255143,1113467,1,490,91,0
1584780257144,1115447,1,1930,77,0
1584780259643,1117987,1,2476,61,0
1584780261644,1119967,1,1940,52,0
1584780265146,1123487,1,504,119,0
1584780265146,1123787,1,302,124,0
1584780265644,1124047,1,252,131,0
1584780266644,1125147,1,1086,116,1
1584780267644,1125967,1,786,110,0
1584780268644,1126967,1,988,101,0
1584780269144,1127587,1,604,99,0
1584780269660,1127987,1,386,101,0
1584780269660,1128247,1,252,106,0
1584780270144,1128547,1,308,109,0
1584780270643,1128967,1,394,112,0
1584780271143,1129466,1,488,108,0
1584780271143,1129846,1,382,105,0
1584780272143,1130466,1,598,115,0
1584780272643,1130946,1,486,122,0
1584780273144,1131466,1,492,136,1
1584780273644,1131966,1,488,140,1
1584780273644,1132326,1,356,141,0
1584780274643,1132966,1,622,130,0
1584780274643,1133346,1,380,128,0
1584780275643,1133966,1,596,122,1
1584780276144,1134466,1,486,122,1
1584780276144,1134746,1,292,125,0
1584780278144,1136806,1,2010,96,0
1584780279643,1138286,1,1450,83,0
1584780280643,1139186,1,872,79,0
1584780282643,1140946,1,1712,68,0
1584780283643,1142006,1,1028,63,0
1584780285150,1143486,1,1448,58,0
1584780286143,1144466,1,950,55,0
1584780286644,1145046,1,572,55,0
1584780287144,1145646,1,592,54,0
1584780287643,1146006,1,356,54,0
1584780288144,1146466,1,446,63,0
1584780288644,1146966,1,486,70,0
1584780288644,1147266,1,292,76,0
1584780289143,1147526,1,252,93,0
1584780289643,1147966,1,434,103,0
1584780290143,1148466,1,494,123,0
1584780290643,1148946,1,468,136,1
1584780291644,1150006,1,1032,123,0
1584780292643,1150966,1,944,115,0
1584780293143,1151546,1,566,110,0
1584780294144,1152466,1,896,102,0
1584780294644,1153026,1,538,101,0
1584780295143,1153446,1,428,99,0
1584780295644,1153946,1,488,95,0
1584780296147,1154446,1,490,94,0
1584780296643,1154886,1,418,95,0
1584780297143,1155466,1,570,94,1
1584780297644,1155966,1,480,103,1
1584780298143,1156506,1,534,111,1
1584780298644,1156946,1,438,113,1
1584780299144,1157446,1,482,123,1
1584780299647,1157966,1,494,124,1
1584780300143,1158466,1,500,122,1
1584780300643,1158986,1,500,122,1
1584780301144,1159466,1,472,122,1
1584780301643,1159946,1,482,121,1
1584780302147,1160466,1,498,122,1
1584780302147,1160826,1,364,126,0
1584780304142,1162466,1,1592,103,0
1584780305143,1163446,1,962,94,0
1584780306143,1164446,1,980,87,1
1584780307143,1165486,1,1020,81,1
1584780309143,1167666,1,2136,66,0
1584780311143,1169586,1,1872,57,0
1584780312651,1171226,1,1594,52,1
1584780314146,1172866,1,1600,47,1
1584780316143,1174466,1,1570,43,0
1584780318143,1176466,1,1964,39,0
1584780320644,1178986,1,2452,37,0
1584780322143,1180486,1,1472,36,0
1584780323143,1181466,1,972,36,0
1584780324144,1182486,1,984,36,0
1584780325145,1183466,1,958,38,0
1584780326144,1184446,1,970,41,0
1584780327143,1185466,1,1000,43,1
1584780328143,1186466,1,970,45,1
1584780328643,1187046,1,584,48,0
1584780329144,1187466,1,396,55,0
1584780329645,1187966,1,488,68,0
1584780330143,1188466,1,498,76,0
1584780330143,1188766,1,298,84,0
1584780331143,1189466,1,680,87,0
1584780331644,1189946,1,480,94,0
1584780332144,1190446,1,480,102,0
1584780332643,1191326,1,866,104,0
1584780334143,1192466,1,1106,102,0
1584780334643,1193146,1,664,100,0
1584780335146,1193766,1,612,97,0
1584780337143,1195446,1,1648,81,0
1584780338643,1196966,1,1488,72,0
1584780339644,1197966,1,970,66,0
1584780340143,1198646,1,672,66,0
1584780341144,1199446,1,782,64,0
1584780342144,1200446,1,978,61,1
1584780343142,1201466,1,992,60,0
1584780343642,1202065,1,596,63,0
1584780344642,1202945,1,858,62,0
1584780345643,1203985,1,1012,60,0
1584780347142,1205465,1,1448,61,0
1584780347642,1206365,1,890,65,0
1584780348642,1207265,1,872,65,0
1584780350142,1208485,1,1180,62,1
1584780351143,1209845,1,1326,59,0
1584780352458,1210665,1,796,60,0
1584780355796,1213945,1,2374,52,0
1584780357357,1215725,1,1720,48,0
1584780358180,1216865,1,1080,48,0
1584780359881,1218245,1,1278,48,0
1584780362342,1219985,1,814,49,0
1584780362346,1220805,1,764,51,0
1584780362640,1221284,1,458,55,0
1584780363141,1221664,1,368,57,0
1584780363641,1221944,1,272,60,0
1584780364140,1222484,1,532,73,0
1584780364642,1223324,1,822,83,0
1584780365641,1224124,1,790,86,0
1584780366641,1224943,1,788,93,0
1584780367140,1225763,1,814,93,0
1584780368140,1226463,1,670,95,0
1584780368640,1227363,1,874,94,0
1584780369641,1227963,1,584,92,0
1584780369641,1228323,1,350,92,0
1584780370640,1228963,1,614,87,0
1584780372151,1230443,1,1454,77,0
1584780373641,1231943,1,1452,71,0
1584780375141,1233463,1,1480,66,0
1584780376141,1234483,1,986,64,0
1584780376640,1235303,1,806,64,0
1584780377141,1235803,1,484,66,0
1584780378144,1236443,1,622,67,0
1584780378144,1236823,1,374,69,0
1584780379141,1237463,1,626,67,0
1584780380145,1238523,1,1030,64,0
1584780380641,1239263,1,724,69,0
1584780381641,1239943,1,666,77,1
1584780382140,1240463,1,512,87,0
1584780383140,1241463,1,964,88,0
1584780384140,1242463,1,986,85,0
1584780386640,1244963,1,2440,67,0
1584780388141,1246803,1,1792,59,0
1584780389641,1247903,1,1076,55,0
1584780391641,1249963,1,2008,49,0
1584780393140,1251843,1,1830,46,1
1584780395141,1253443,1,1566,43,0
1584780396641,1255183,1,1698,40,1
1584780398641,1256943,1,1728,37,1
1584780400141,1258803,1,1828,35,1
1584780404641,1263003,1,1004,59,0
1584780405641,1264243,1,1220,58,0
1584780406640,1265003,1,734,60,0
1584780407141,1265863,1,848,61,0
1584780408141,1266463,1,576,63,0
1584780408141,1266803,1,346,68,0
1584780409142,1267463,1,630,71,0
1584780409645,1267963,1,486,76,0
1584780410145,1268443,1,484,81,0
1584780410642,1268963,1,496,87,1
1584780411141,1269463,1,488,95,1
1584780411641,1269963,1,500,107,1
1584780412141,1270463,1,474,112,1
1584780412641,1270963,1,496,120,1
1584780412641,1271363,1,388,125,1
1584780413142,1271863,1,480,121,1
1584780414141,1272463,1,586,123,1
1584780414141,1272823,1,364,126,0
1584780414643,1273303,1,462,126,0
1584780415141,1273623,1,308,132,0
1584780415642,1273963,1,336,136,0
1584780416141,1274483,1,498,136,0
1584780416641,1274943,1,464,136,1
1584780416641,1275323,1,372,141,1
1584780417641,1275943,1,604,134,0
1584780417641,1276323,1,362,137,0
1584780419641,1277963,1,1592,111,0
1584780420640,1278943,1,956,100,0
1584780422140,1280443,1,1470,86,0
1584780423142,1281463,1,996,78,0
1584780424141,1282783,1,1282,69,1
1584780425141,1283643,1,832,67,0
1584780426141,1284443,1,774,64,0
1584780427640,1285963,1,1472,58,0
