localTime,remoteTime,label,eda,eda_filtered
1584780023677,903305,,4095,4095
1584780023677,903525,,4095,4095
1584780024176,903745,,4095,4095
1584780024176,903965,,4095,4095
1584780024676,904185,,4095,4095
1584780024676,904405,,4095,4095
1584780024676,904625,,4095,4095
1584780025176,904845,,4095,4095
1584780025176,905065,,4095,4095
1584780025677,905285,,4095,4095
1584780025677,905505,,4095,4095
1584780026175,905725,,4095,4095
1584780026175,905945,,4095,4095
1584780026675,906165,,4095,4095
1584780026675,906385,,4095,4095
1584780026675,906605,,4095,4095
1584780027175,906825,,4095,4095
1584780027175,907045,,4095,4095
1584780027676,907265,,4095,4095
1584780027676,907485,,4095,4095
1584780028186,907705,,4095,4095
1584780028186,907925,,4095,4095
1584780028679,908145,,4095,4095
1584780028679,908365,,4095,4095
1584780028679,908585,,4095,4095
1584780029176,908805,,4095,4095
1584780029176,909025,,4095,4095
1584780029677,909245,,4095,4095
1584780029677,909465,,4095,4095
1584780030176,909685,,4095,4095
1584780030176,909905,,4095,4095
1584780030176,910125,,4095,4095
1584780030675,910345,,4095,4095
1584780030675,910565,,4095,4095
1584780031177,910785,,4095,4095
1584780031177,911005,,4095,4095
1584780031676,911225,,4095,4095
1584780031676,911445,,4095,4095
1584780032176,911665,,4095,4095
1584780032176,911885,,4095,4095
1584780032176,912105,,4095,4095
1584780032677,912325,,4095,4095
1584780032677,912545,,4095,4095
1584780033176,912765,,4095,4095
1584780033176,912985,,4095,4095
1584780033677,913205,,4095,4095
1584780033677,913425,,4095,4095
1584780034177,913645,,4095,4095
1584780034177,913865,,4095,4095
1584780034177,914085,,4095,4095
1584780034680,914305,,4095,4095
1584780034680,914525,,4095,4095
1584780035177,914744,,4095,4095
1584780035177,914964,,4095,4095
1584780035678,915184,,4095,4095
1584780035678,915404,,4095,4095
1584780035678,915624,,4095,4095
1584780036177,915844,,4095,4095
1584780036177,916064,,4095,4095
1584780036673,916284,,4095,4095
1584780036673,916504,,4095,4095
1584780037174,916724,,4095,4095
1584780037174,916944,,4095,4095
1584780037677,917164,,4095,4095
1584780037677,917384,,4095,4095
1584780037677,917604,,4095,4095
1584780038176,917824,,4095,4095
1584780038176,918044,,4095,4095
1584780038676,918264,,4095,4095
1584780038676,918484,,4095,4095
1584780039175,918704,,4023,4069.06
1584780039175,918924,,3957,4020.77
1584780039677,919144,,3819,3960.2
1584780039677,919364,,3923,3915.72
1584780039677,919584,,3826,3879.43
1584780040173,919804,,3829,3855.34
1584780040173,920024,,3984,3881.53
1584780040675,920244,,3844,3906.45
1584780040675,920464,,3727,3843.25
1584780041178,920684,,3569,3731.27
1584780041178,920904,,3533,3658.55
1584780041178,921124,,3489,3591.85
1584780041675,921344,,3552,3565.29
1584780041675,921564,,3437,3535.9
1584780042174,921784,,3350,3471.04
1584780042174,922004,,3518,3439.63
1584780042677,922224,,3472,3464.42
1584780042677,922444,,3486,3468.85
1584780043177,922664,,3414,3463.01
1584780043177,922884,,3344,3421.8
1584780043177,923104,,3408,3400.97
1584780043677,923324,,3339,3383.6
1584780043677,923544,,3338,3364.6
1584780044172,923764,,3332,3352.23
1584780044172,923984,,3303,3330.47
1584780044673,924204,,3471,3367.52
1584780044673,924424,,3323,3376.75
1584780045176,924644,,3165,3316.27
1584780045176,924864,,3173,3255.18
1584780045176,925084,,3271,3231.68
1584780045672,925304,,3262,3239.25
1584780045672,925524,,3280,3252.48
1584780046175,925744,,3393,3291.98
1584780046175,925964,,3307,3313.82
1584780046672,926184,,3248,3299.08
1584780046672,926404,,3207,3267.42
1584780046672,926624,,3330,3280
1584780047174,926844,,3251,3264.84
1584780047174,927064,,3293,3270.76
1584780047676,927284,,3331,3293.35
1584780047676,927504,,3357,3317.34
1584780048175,927724,,3379,3332.93
1584780048175,927944,,3401,3367.33
1584780048674,928164,,3001,3261.77
1584780048674,928384,,3071,3179.75
1584780048674,928604,,3071,3138.84
1584780049175,928824,,3061,3105.38
1584780049175,929044,,3184,3103.85
1584780049674,929264,,3141,3124.39
1584780049674,929484,,3174,3139.22
1584780050175,929704,,3222,3164.79
1584780050175,929924,,3159,3183.05
1584780050675,930144,,3018,3120.71
1584780050675,930364,,3008,3071.56
1584780050675,930584,,3025,3039.29
1584780051175,930804,,3024,3033.74
1584780051175,931024,,3021,3031.91
1584780051673,931244,,3005,3021.65
1584780051673,931464,,3011,3016.04
1584780052175,931684,,3024,3018.08
1584780052175,931904,,3137,3037.36
1584780052175,932124,,3150,3090.79
1584780052676,932344,,3134,3109.98
1584780052676,932564,,3139,3120.92
1584780053183,932784,,3162,3133.31
1584780053183,933004,,3214,3157.15
1584780053673,933224,,3344,3199.81
1584780053673,933444,,3430,3281.91
1584780054174,933664,,3359,3311.18
1584780054174,933884,,3298,3317.09
1584780054174,934104,,3295,3310.3
