localTime,remoteTime,label,ibi,bpm,signalOK
1584780037732,972936,,1676,46,1
1584780039232,974796,,1682,42,1
1584780041233,976556,,1582,40,1
1584780042734,978316,,1584,38,1
1584780044734,980136,,1644,36,1
1584780047234,982796,,2404,34,0
1584780049234,984536,,1582,35,0
1584780050232,985596,1,950,36,0
1584780052747,988075,1,2246,35,0
1584780054232,989795,1,1552,35,0
1584780059231,994435,1,710,84,0
1584780059731,995315,1,798,83,0
1584780061731,997135,1,1688,73,0
1584780063731,998915,1,1712,65,0
1584780065234,1000555,1,1522,60,0
1584780067731,1003035,1,2326,51,0
1584780069232,1004855,1,1746,47,1
1584780071231,1006655,1,1766,43,1
1584780075232,1010395,1,664,90,0
1584780075731,1011215,1,798,88,0
1584780077234,1012875,1,1618,77,0
1584780079232,1014435,1,1518,69,0
1584780079731,1015375,1,910,68,0
1584780081731,1016915,1,1506,62,0
1584780082231,1017875,1,940,60,0
1584780083231,1018535,1,636,60,0
1584780083731,1018935,1,382,62,0
1584780086231,1021455,1,2444,52,0
1584780087731,1022955,1,1466,49,1
1584780088231,1023855,1,880,48,0
1584780089235,1024595,1,718,52,0
1584780090232,1025435,1,822,56,0
1584780090731,1026315,1,862,56,0
1584780091731,1027255,1,908,59,0
1584780092732,1028135,1,866,60,1
1584780093731,1029015,1,842,58,1
1584780094732,1029895,1,862,56,1
1584780095235,1030775,1,860,66,1
1584780096231,1031655,1,864,70,1
1584780097232,1032455,1,764,71,1
1584780097732,1033235,1,778,71,1
1584780099231,1034875,1,1594,65,0
1584780101231,1036415,1,1494,61,0
1584780102731,1037935,1,1472,57,0
1584780103735,1039375,1,1414,54,1
1584780104732,1040255,1,848,54,0
1584780105232,1040875,1,596,56,0
1584780106732,1042055,1,1156,54,1
1584780108231,1043535,1,1424,51,0
1584780109231,1044475,1,930,51,0
1584780113232,1048635,1,782,76,0
1584780114236,1049435,1,794,76,0
1584780114733,1050255,1,786,76,0
1584780115731,1051075,1,798,76,0
1584780116731,1051915,1,828,76,1
1584780117232,1052675,1,730,76,1
1584780118732,1053915,1,1216,72,0
1584780119231,1054795,1,862,71,0
1584780128245,1063695,1,674,89,0
