localTime,remoteTime,label,ibi,bpm,signalOK
1584780050868,125134,,532,120,1
1584780051868,125674,,514,114,1
1584780052368,126214,,520,110,1
1584780052869,126774,,544,110,1
1584780053368,127354,,574,110,1
1584780053874,127954,,588,109,1
1584780054368,128574,,598,109,1
1584780055369,129214,,624,107,1
1584780055871,129894,,678,105,1
1584780056368,130554,,632,103,1
1584780057369,131154,,588,102,1
1584780057868,131734,,574,101,1
1584780058368,132394,,636,99,1
1584780058868,132974,,566,99,1
1584780059369,133534,,554,99,1
1584780059867,134074,,528,100,1
1584780060368,134534,,452,102,1
1584780061867,135854,,1282,92,0
1584780062868,136914,,1046,87,0
1584780063367,137554,,628,87,0
1584780063868,137974,,416,89,0
1584780064368,138274,,296,93,0
1584780064368,138534,1,252,99,0
1584780065369,139214,1,654,98,0
1584780065869,139674,1,464,99,0
1584780066368,140174,1,492,100,0
1584780066368,140474,1,296,103,0
1584780067367,141514,1,1010,108,0
1584780067868,142134,1,608,117,0
1584780068869,142714,1,562,118,1
1584780069368,143314,1,588,114,1
1584780069868,143894,1,570,109,0
1584780070368,144474,1,568,103,0
1584780070868,145054,1,570,104,1
1584780071368,145614,1,550,103,1
1584780072369,146214,1,582,101,1
1584780072869,146794,1,564,97,1
1584780073368,147354,1,558,104,1
1584780073868,147934,1,568,105,1
1584780074369,148534,1,590,105,1
1584780075367,149154,1,608,104,1
1584780075868,149774,1,590,104,1
1584780076369,150334,1,558,104,1
1584780076868,150914,1,568,104,1
1584780077368,151494,1,556,104,1
1584780077869,152094,1,596,104,1
1584780078368,152614,1,510,105,1
1584780079367,153154,1,528,105,1
1584780079867,153694,1,522,106,1
1584780080368,154254,1,558,107,1
1584780080868,154834,1,558,108,1
1584780081367,155434,1,590,108,1
1584780081869,156053,1,602,107,1
1584780082867,156673,1,616,106,1
1584780083367,157293,1,608,105,1
1584780083867,157893,1,594,105,1
1584780084367,158513,1,592,104,1
1584780084868,159113,1,594,102,1
1584780085867,159713,1,580,101,1
1584780086868,160773,1,1042,94,0
1584780087371,161413,1,626,93,0
1584780087871,161953,1,538,93,0
1584780088367,162373,1,408,96,0
1584780088868,163133,1,750,94,0
1584780089367,163613,1,476,96,1
1584780089868,163973,1,348,100,0
1584780092367,166413,1,2380,77,0
1584780093867,167873,1,1430,70,0
1584780095367,169433,1,1530,63,0
1584780097368,171413,1,1940,57,0
1584780098868,173053,1,1606,52,0
1584780100367,174613,1,1512,48,0
1584780101868,175753,1,1132,45,0
1584780103368,177293,1,1502,43,1
1584780105367,179213,1,1880,39,0
1584780106367,180513,1,1260,37,0
1584780110868,185013,1,1550,38,0
1584780112868,187073,1,2026,37,0
1584780116367,190473,1,472,127,0
1584780117868,192033,1,1526,103,1
1584780118868,192973,1,916,96,0
1584780119367,193533,1,550,95,0
1584780119867,193993,1,464,95,0
1584780120368,194593,1,590,93,0
1584780120867,195113,1,504,93,0
1584780121367,195433,1,308,95,0
1584780121867,195713,1,266,99,0
1584780122368,196273,1,560,97,0
1584780122867,196813,1,524,96,1
1584780123868,197913,1,1080,104,0
1584780125367,199253,1,1320,97,0
1584780125867,200073,1,794,93,0
1584780126867,200713,1,624,91,0
1584780127368,201393,1,666,90,0
1584780127867,201953,1,560,89,0
1584780128375,202533,1,560,86,0
1584780128868,203133,1,594,82,1
1584780129867,203733,1,584,82,1
1584780130367,204373,1,626,81,1
1584780130868,204973,1,584,86,1
1584780132367,206173,1,1182,88,0
1584780132868,206893,1,710,89,0
1584780133366,207353,1,450,92,0
1584780133867,207952,1,580,93,0
1584780134367,208552,1,586,93,0
1584780135366,209172,1,602,92,0
1584780135867,209792,1,600,92,1
1584780136367,210412,1,614,91,1
1584780137866,211692,1,1256,83,0
