localTime,remoteTime,label,ibi,bpm,signalOK
1584780040693,988436,,2142,31,0
1584780042194,990376,,1894,31,1
1584780049193,996956,,1478,40,0
1584780050193,997936,,974,42,0
1584780051193,998936,,972,43,0
1584780052193,999956,,1006,45,0
1584780053193,1000936,,952,46,0
1584780053693,1001616,,664,50,0
1584780054193,1002276,1,650,53,0
1584780055703,1003756,1,1446,54,0
1584780060192,1008176,1,720,83,0
1584780061193,1008896,1,696,83,0
1584780062193,1010356,1,1432,76,0
1584780064693,1012636,1,2250,63,0
1584780066692,1014436,1,1764,57,0
1584780068193,1015936,1,1458,53,0
1584780069193,1016936,1,984,52,0
1584780069693,1017696,1,748,52,0
1584780070694,1018436,1,718,52,0
1584780071193,1018956,1,510,53,0
1584780071693,1019436,1,488,54,0
1584780071693,1019796,1,342,56,0
1584780072693,1020416,1,602,60,0
1584780074192,1021936,1,1504,65,0
1584780075193,1022956,1,980,72,1
1584780075694,1023696,1,732,78,0
1584780076693,1024836,1,1126,77,1
1584780077693,1025816,1,956,75,0
1584780078693,1026396,1,574,76,0
1584780081692,1029576,1,252,238,0
1584780083693,1031856,1,2242,133,0
1584780085693,1033496,1,1592,102,0
1584780086693,1034476,1,956,91,0
1584780087192,1035116,1,628,86,0
1584780087694,1035576,1,468,84,0
1584780088193,1036296,1,688,79,0
1584780089192,1037056,1,756,74,0
1584780090193,1037916,1,848,69,0
1584780091193,1039056,1,1106,62,0
1584780092192,1040155,1,1090,57,0
1584780092695,1040835,1,656,68,0
1584780093691,1041575,1,720,75,0
1584780094192,1042335,1,738,78,0
1584780095192,1043135,1,792,76,0
1584780096191,1043895,1,742,73,1
1584780096692,1044635,1,722,73,1
1584780097191,1045295,1,650,74,1
1584780098192,1045955,1,640,76,1
1584780098692,1046675,1,704,80,1
1584780099692,1047415,1,722,84,1
1584780100192,1048215,1,776,83,1
1584780101194,1049015,1,784,82,1
1584780101692,1049735,1,712,82,1
1584780102691,1050535,1,772,83,1
1584780103191,1051275,1,732,83,1
1584780104192,1051955,1,664,83,1
1584780104692,1052695,1,720,83,1
1584780105693,1053435,1,714,82,1
1584780106193,1054175,1,740,81,1
1584780106693,1054875,1,688,82,1
1584780107692,1055595,1,702,83,1
1584780108193,1056315,1,706,83,1
1584780109192,1057055,1,712,83,1
1584780109693,1057755,1,696,84,1
1584780110693,1058515,1,734,84,1
1584780111191,1059255,1,724,84,1
1584780112192,1059975,1,704,84,1
1584780112693,1060715,1,732,84,1
1584780113692,1061435,1,690,84,1
1584780114193,1062115,1,666,84,1
1584780114692,1062835,1,706,84,1
1584780115692,1063635,1,786,83,1
1584780116692,1064435,1,774,83,1
1584780117192,1065155,1,708,83,1
1584780118193,1065915,1,752,82,1
1584780118691,1066614,1,678,83,1
1584780119191,1067274,1,648,84,1
1584780120191,1068014,1,728,84,1
1584780120691,1068774,1,748,83,1
1584780121691,1069614,1,810,81,1
1584780122192,1070334,1,708,81,1
1584780123192,1071094,1,744,82,1
1584780124192,1071894,1,786,82,1
1584780126191,1073954,1,2020,69,0
1584780127192,1075334,1,1350,65,0
1584780128691,1076674,1,1316,60,1
1584780129691,1077494,1,790,60,0
1584780130191,1078134,1,644,60,0
1584780131192,1078914,1,748,60,0
1584780131692,1079614,1,694,61,0
1584780132190,1080334,1,706,61,0
1584780133191,1081074,1,720,61,1
1584780133691,1081774,1,674,62,1
1584780134692,1082474,1,688,72,1
1584780135192,1083214,1,732,77,1
1584780136191,1083934,1,692,84,1
1584780136691,1084654,1,700,85,1
1584780137191,1085314,1,658,85,1
1584780138191,1085934,1,606,87,1
1584780138715,1086634,1,680,87,1
1584780139191,1087294,1,642,88,1
1584780140192,1087954,1,638,89,1
1584780140696,1088654,1,688,89,1
1584780141191,1089354,1,688,89,1
1584780142192,1090034,1,668,90,1
1584780142692,1090754,1,702,89,1
