localTime,remoteTime,label,ibi,bpm,signalOK
1584780048538,1035974,,488,122,1
1584780049038,1036474,,484,123,1
1584780049538,1036974,,490,122,1
1584780050038,1037474,,490,122,1
1584780050538,1037974,,492,122,1
1584780051037,1038474,,484,122,1
1584780051537,1038974,,504,122,1
1584780052037,1039454,,472,123,1
1584780052538,1039974,,496,122,1
1584780053038,1040474,,488,122,1
1584780053538,1040974,,490,122,1
1584780054038,1041474,,486,122,1
1584780054547,1041974,,492,122,1
1584780055052,1042474,,492,122,1
1584780055543,1042974,,486,122,1
1584780056038,1043474,,488,122,1
1584780056869,1043974,,488,123,1
1584780057037,1044474,,490,122,1
1584780057537,1044974,,494,122,1
1584780058037,1045474,,482,122,1
1584780058537,1045994,,520,122,1
1584780059037,1046474,,468,122,1
1584780059537,1046994,,504,122,1
1584780060037,1047474,,468,122,1
1584780060537,1047974,,492,122,1
1584780061037,1048474,,486,122,1
1584780061537,1048974,,494,122,1
1584780062038,1049474,,488,122,1
1584780062538,1049974,,486,122,1
1584780063038,1050474,,490,122,1
1584780063538,1050954,,488,123,1
1584780064037,1051474,,500,122,1
1584780064538,1051954,,478,123,1
1584780065037,1052474,1,494,122,1
1584780065538,1052974,1,494,122,1
1584780066038,1053474,1,484,122,1
1584780066538,1053974,1,490,122,1
1584780067037,1054474,1,486,122,1
1584780067538,1054974,1,492,122,1
1584780068038,1055474,1,482,122,1
1584780068538,1055974,1,504,122,1
1584780069040,1056474,1,472,123,1
1584780069537,1056974,1,492,122,1
1584780070037,1057474,1,486,122,1
1584780070538,1057974,1,488,123,1
1584780071038,1058474,1,486,123,1
1584780071538,1058974,1,490,123,1
1584780072038,1059474,1,494,122,1
1584780072538,1059974,1,482,123,1
1584780073037,1060474,1,490,122,1
1584780073537,1060954,1,482,123,1
1584780074037,1061474,1,494,122,1
1584780074537,1061974,1,488,122,1
1584780075039,1062474,1,486,122,1
1584780075538,1062974,1,492,122,1
1584780076037,1063474,1,486,122,1
1584780076537,1063974,1,496,122,1
1584780077038,1064474,1,482,123,1
1584780077540,1064974,1,492,122,1
1584780078038,1065474,1,486,122,1
1584780078538,1065974,1,492,122,1
1584780079038,1066474,1,486,122,1
1584780079537,1066974,1,486,122,1
1584780080038,1067474,1,492,122,1
1584780080538,1067974,1,486,122,1
1584780081037,1068474,1,494,122,1
1584780081538,1068954,1,478,123,1
1584780082039,1069474,1,494,122,1
1584780082538,1069974,1,488,122,1
1584780083037,1070474,1,482,123,1
1584780083537,1070974,1,488,123,1
1584780084038,1071474,1,490,123,1
1584780084538,1071974,1,492,122,1
1584780085037,1072474,1,486,123,1
1584780085538,1072974,1,500,122,1
1584780086040,1073474,1,476,123,1
1584780086538,1073974,1,494,122,1
1584780087038,1074474,1,492,122,1
1584780087538,1074974,1,484,122,1
1584780088038,1075474,1,486,122,1
1584780088538,1075974,1,484,122,1
1584780089038,1076474,1,492,122,1
1584780089538,1076974,1,484,123,1
1584780090039,1077474,1,502,122,1
1584780090538,1077974,1,474,123,1
1584780091037,1078474,1,490,122,1
1584780091537,1078974,1,490,123,1
1584780092039,1079474,1,488,123,1
1584780092536,1079974,1,488,123,1
1584780093038,1080454,1,470,123,1
1584780093038,1080734,1,284,128,0
1584780093538,1080994,1,252,135,0
1584780094038,1081474,1,466,136,0
1584780094540,1081974,1,484,136,0
1584780095037,1082474,1,482,136,1
1584780095537,1082974,1,492,136,1
1584780096038,1083474,1,488,136,1
1584780096538,1083954,1,486,136,1
1584780097038,1084474,1,490,136,1
1584780097538,1084954,1,486,136,1
1584780098038,1085474,1,502,129,1
1584780098539,1085974,1,476,123,1
1584780099038,1086474,1,492,123,1
1584780099537,1086974,1,496,122,1
1584780100038,1087474,1,486,122,1
1584780100538,1087974,1,486,122,1
1584780101039,1088474,1,490,122,1
1584780101539,1088974,1,494,122,1
1584780102038,1089474,1,486,122,1
1584780102537,1089974,1,498,122,1
1584780103038,1090474,1,478,122,1
1584780103539,1090974,1,494,122,1
1584780104037,1091474,1,490,122,1
1584780104538,1091974,1,486,122,1
1584780105045,1092474,1,486,122,1
1584780105538,1092974,1,494,122,1
1584780106038,1093474,1,488,122,1
