localTime,remoteTime,label,eda,eda_filtered
1584780023529,1069289,,3938,3917.09
1584780023529,1069509,,3897,3907.16
1584780024039,1069729,,3888,3898.95
1584780024039,1069949,,3946,3906.63
1584780024530,1070169,,3878,3911.44
1584780024530,1070389,,3888,3904.96
1584780024530,1070609,,3920,3900.2
1584780025029,1070829,,3926,3919.05
1584780025029,1071049,,3902,3908.11
1584780025529,1071269,,3883,3899.86
1584780025529,1071489,,3950,3913.92
1584780026029,1071709,,3892,3913.5
1584780026029,1071929,,3889,3904.32
1584780026529,1072149,,3951,3903.67
1584780026529,1072369,,3913,3920.63
1584780026529,1072589,,3898,3909
1584780027033,1072809,,3887,3900.56
1584780027033,1073029,,3949,3915.13
1584780027529,1073249,,3893,3911.96
1584780027529,1073469,,3888,3903.71
1584780028029,1073689,,3946,3902.52
1584780028029,1073909,,3891,3915.18
1584780028029,1074129,,3904,3907.54
1584780028531,1074349,,3889,3899.68
1584780028531,1074569,,3952,3916.67
1584780029029,1074789,,3896,3909.09
1584780029029,1075009,,3888,3902.07
1584780029529,1075229,,3952,3908.71
1584780029529,1075449,,3890,3918.42
1584780030030,1075669,,3891,3908.8
1584780030030,1075889,,3895,3900.76
1584780030030,1076109,,3946,3919.39
1584780030529,1076329,,3898,3912.85
1584780030529,1076549,,3890,3904.64
1584780031031,1076769,,3954,3906.77
1584780031031,1076989,,3903,3920.55
1584780031528,1077209,,3909,3911.62
1584780031528,1077429,,3893,3903.26
1584780032028,1077649,,3950,3920.09
1584780032028,1077869,,3903,3914.28
1584780032028,1078089,,3893,3907.31
1584780032538,1078309,,3955,3914.42
1584780032538,1078529,,3894,3923.31
1584780033029,1078749,,3895,3912.83
1584780033029,1078969,,3900,3903.77
1584780033528,1079189,,3955,3923.05
1584780033528,1079409,,3898,3916.38
1584780033528,1079629,,3893,3907.61
1584780034030,1079849,,3957,3913.27
1584780034030,1080069,,3897,3923.45
1584780034527,1080289,,3895,3913.85
1584780034527,1080509,,3904,3905.07
1584780035029,1080729,,3942,3925.09
1584780035029,1080949,,3911,3915.03
1584780035530,1081169,,3888,3906.55
