localTime,remoteTime,label,eda,eda_filtered
1584780022814,1224843,,4095,4095
1584780022814,1225063,,4095,4095
1584780023314,1225283,,4095,4095
1584780023314,1225503,,4095,4095
1584780023814,1225723,,4095,4095
1584780023814,1225943,,4095,4095
1584780024314,1226163,,4095,4095
1584780024314,1226383,,4095,4095
1584780024314,1226603,,4095,4095
1584780024814,1226823,,4095,4095
1584780024814,1227043,,4095,4095
1584780025317,1227263,,4095,4095
1584780025317,1227483,,4095,4095
1584780025814,1227703,,4095,4095
1584780025814,1227923,,4095,4095
1584780026314,1228143,,4095,4095
1584780026314,1228363,,4095,4095
1584780026314,1228583,,4095,4095
1584780026814,1228803,,4095,4095
1584780026814,1229023,,4095,4095
1584780027313,1229243,,4095,4095
1584780027313,1229463,,4095,4095
1584780027814,1229683,,4095,4095
1584780027814,1229903,,4095,4095
1584780027814,1230123,,4095,4095
1584780028315,1230343,,4095,4095
1584780028315,1230563,,4095,4095
1584780028813,1230783,,4095,4095
1584780028813,1231003,,4095,4095
1584780029313,1231223,,4095,4095
1584780029313,1231443,,4095,4095
1584780029818,1231663,,4095,4095
1584780029818,1231883,,4095,4095
1584780029818,1232103,,4095,4095
1584780030314,1232323,,4095,4095
1584780030314,1232543,,4095,4095
1584780030814,1232763,,4095,4095
1584780030814,1232983,,4095,4095
1584780031314,1233203,,4095,4095
1584780031314,1233423,,4095,4095
1584780031813,1233643,,4095,4095
1584780031813,1233863,,4095,4095
1584780031813,1234083,,4095,4095
1584780032314,1234303,,4095,4095
1584780032314,1234523,,4095,4095
1584780032814,1234743,,4095,4095
1584780032814,1234963,,4095,4095
1584780033314,1235183,,4095,4095
1584780033314,1235403,,4095,4095
1584780033314,1235623,,4095,4095
1584780033815,1235843,,4095,4095
1584780033815,1236063,,4095,4095
1584780034314,1236283,,4095,4095
1584780034314,1236503,,4095,4095
1584780034814,1236723,,4095,4095
1584780034814,1236943,,4095,4095
1584780035314,1237163,,4095,4095
1584780035314,1237383,,4095,4095
1584780035314,1237603,,4095,4095
1584780035814,1237823,,4095,4095
1584780035814,1238043,,4095,4095
1584780036316,1238263,,4095,4095
1584780036316,1238483,,4095,4095
1584780036832,1238703,,4095,4095
1584780036832,1238923,,4095,4095
1584780037315,1239143,,4095,4095
1584780037315,1239363,,4095,4095
1584780037315,1239583,,4095,4095
1584780037814,1239803,,4095,4095
1584780037814,1240023,,4095,4095
1584780038313,1240243,,4095,4095
1584780038313,1240463,,4095,4095
1584780038814,1240683,,4095,4095
1584780038814,1240903,,4095,4095
1584780038814,1241123,,4095,4095
1584780039313,1241343,,4095,4095
1584780039313,1241563,,4095,4095
1584780039813,1241783,,4095,4095
1584780039813,1242003,,4095,4095
1584780040314,1242223,,4095,4095
1584780040314,1242443,,4095,4095
1584780040813,1242663,,4095,4095
1584780040813,1242883,,4095,4095
1584780040813,1243103,,4095,4095
1584780041314,1243323,,4095,4095
1584780041314,1243543,,4095,4095
1584780041814,1243763,,4095,4095
1584780041814,1243983,,4095,4095
1584780042315,1244203,,4095,4095
1584780042315,1244423,,4095,4095
1584780042814,1244643,,4095,4095
1584780042814,1244863,,4095,4095
1584780042814,1245083,,4095,4095
1584780043314,1245303,,4095,4095
1584780043314,1245523,,4095,4095
1584780043814,1245743,,4095,4095
1584780043814,1245963,,4095,4095
1584780044314,1246183,,4095,4095
1584780044314,1246403,,4095,4095
1584780044314,1246623,,4095,4095
1584780044814,1246843,,4095,4095
1584780044814,1247063,,4095,4095
1584780045314,1247283,,4095,4095
1584780045314,1247503,,4095,4095
1584780045814,1247723,,4095,4095
1584780045814,1247943,,4095,4095
1584780046314,1248163,,4095,4095
1584780046314,1248383,,4095,4095
1584780046314,1248603,,4095,4095
1584780046814,1248823,,4095,4095
1584780046814,1249043,,4095,4095
1584780047314,1249263,,4095,4095
1584780047314,1249483,,4095,4095
1584780047813,1249703,,4095,4095
1584780047813,1249923,,4095,4095
1584780048314,1250143,,4095,4095
1584780048314,1250363,,4095,4095
1584780048314,1250583,,4095,4095
1584780048814,1250803,,4095,4095
1584780048814,1251023,,4095,4095
1584780049314,1251243,,4095,4095
1584780049314,1251463,,4095,4095
1584780049814,1251683,,4095,4095
1584780049814,1251903,,4095,4095
1584780049814,1252123,,4095,4095
1584780050314,1252343,,4095,4095
1584780050314,1252563,,4095,4095
1584780050813,1252783,,4095,4095
1584780050813,1253003,,4095,4095
1584780051314,1253223,,4095,4095
1584780051314,1253443,,4095,4095
1584780051813,1253663,,4095,4095
1584780051813,1253883,,4095,4095
1584780051813,1254103,,4095,4095
1584780052314,1254323,,4095,4095
1584780052314,1254543,,4095,4095
1584780052814,1254763,,4095,4095
1584780052814,1254983,,4095,4095
1584780053314,1255203,,4095,4095
1584780053314,1255423,,4095,4095
1584780053813,1255643,,4095,4095
1584780053813,1255863,,4095,4095
1584780053813,1256083,,4095,4095
1584780054313,1256303,,4095,4095
1584780054313,1256523,,4095,4095
1584780054826,1256743,,4095,4095
1584780054826,1256963,,4095,4095
1584780055314,1257183,,4095,4095
1584780055314,1257403,,4095,4095
1584780055314,1257623,,4095,4095
1584780055814,1257843,,4095,4095
1584780055814,1258063,,4095,4095
1584780056327,1258283,,4095,4095
1584780056327,1258503,,4095,4095
1584780056911,1258723,,4095,4095
1584780056911,1258943,,4095,4095
1584780057314,1259163,,4095,4095
1584780057314,1259383,,4095,4095
1584780057314,1259603,,4095,4095
1584780057813,1259823,,4095,4095
1584780057813,1260043,,4095,4095
1584780058313,1260263,,4095,4095
1584780058313,1260483,,4095,4095
1584780058821,1260703,,4095,4095
1584780058821,1260923,,4095,4095
1584780059314,1261143,,4095,4095
1584780059314,1261363,,4095,4095
1584780059314,1261583,,4095,4095
1584780059813,1261803,,4095,4095
1584780059813,1262023,,4095,4095
1584780060314,1262243,,4095,4095
1584780060314,1262463,,4095,4095
1584780060813,1262683,,4095,4095
1584780060813,1262903,,4095,4095
1584780060813,1263123,,4095,4095
1584780061314,1263343,,4095,4095
1584780061314,1263563,,4095,4095
1584780061814,1263783,,4095,4095
1584780061814,1264003,,4095,4095
1584780062313,1264223,,4095,4095
1584780062313,1264443,,4095,4095
1584780062813,1264663,,4095,4095
1584780062813,1264883,,4095,4095
1584780062813,1265103,,4095,4095
1584780063313,1265323,,4095,4095
1584780063313,1265543,,4095,4095
1584780063813,1265763,,4095,4095
1584780063813,1265983,,4095,4095
1584780064314,1266203,,4095,4095
1584780064314,1266423,,4095,4095
1584780064814,1266643,,4095,4095
1584780064814,1266863,,4095,4095
1584780064814,1267083,,4095,4095
1584780065314,1267303,,4095,4095
1584780065314,1267523,,4095,4095
1584780065813,1267743,,4095,4095
1584780065813,1267963,,4095,4095
1584780066317,1268183,,4095,4095
1584780066317,1268403,,4095,4095
1584780066317,1268623,,4095,4095
1584780066814,1268843,,4095,4095
1584780066814,1269063,,4095,4095
1584780067314,1269283,,4095,4095
1584780067314,1269503,,4095,4095
1584780067813,1269723,,4095,4095
1584780067813,1269943,1,4095,4095
1584780068314,1270163,1,4095,4095
1584780068314,1270383,1,4095,4095
1584780068314,1270603,1,4095,4095
1584780068814,1270823,1,4095,4095
1584780068814,1271043,1,4095,4095
1584780069313,1271263,1,4095,4095
1584780069313,1271483,1,4095,4095
1584780069814,1271703,1,4095,4095
1584780069814,1271923,1,4095,4095
1584780070313,1272143,1,4095,4095
1584780070313,1272363,1,4095,4095
1584780070313,1272583,1,4095,4095
1584780070814,1272803,1,4095,4095
1584780070814,1273023,1,4095,4095
1584780071314,1273243,1,4095,4095
1584780071314,1273463,1,4095,4095
1584780071813,1273683,1,4095,4095
1584780071813,1273903,1,4095,4095
1584780071813,1274123,1,4095,4095
1584780072313,1274343,1,4095,4095
1584780072313,1274563,1,4095,4095
1584780072813,1274783,1,4095,4095
1584780072813,1275003,1,4095,4095
1584780073314,1275223,1,4095,4095
1584780073314,1275443,1,4095,4095
1584780073813,1275663,1,4095,4095
1584780073813,1275883,1,4095,4095
1584780073813,1276103,1,4095,4095
1584780074313,1276323,1,4095,4095
1584780074313,1276543,1,4095,4095
1584780074814,1276763,1,4095,4095
1584780074814,1276983,1,4095,4095
1584780075313,1277203,1,4095,4095
1584780075313,1277423,1,4095,4095
1584780075814,1277643,1,4095,4095
1584780075814,1277863,1,4095,4095
1584780075814,1278083,1,4095,4095
1584780076313,1278303,1,4095,4095
1584780076313,1278523,1,4095,4095
1584780076814,1278743,1,4095,4095
1584780076814,1278963,1,4095,4095
1584780077314,1279183,1,4095,4095
1584780077314,1279403,1,4095,4095
1584780077314,1279623,1,4095,4095
1584780077814,1279843,1,4095,4095
1584780077814,1280063,1,4095,4095
1584780078316,1280283,1,4095,4095
1584780078316,1280503,1,4095,4095
1584780078814,1280723,1,4095,4095
1584780078814,1280943,1,4095,4095
1584780079313,1281163,1,4095,4095
1584780079313,1281383,1,4095,4095
1584780079313,1281603,1,4095,4095
1584780079813,1281823,1,4095,4095
1584780079813,1282043,1,4095,4095
1584780080313,1282263,1,4095,4095
1584780080313,1282483,1,4095,4095
1584780080813,1282703,1,4095,4095
1584780080813,1282923,1,4095,4095
1584780081314,1283143,1,4095,4095
1584780081314,1283363,1,4095,4095
1584780081314,1283583,1,4095,4095
1584780081814,1283803,1,4095,4095
1584780081814,1284023,1,4095,4095
1584780082314,1284243,1,4095,4095
1584780082314,1284463,1,4095,4095
1584780082813,1284683,1,4095,4095
1584780082813,1284903,1,4095,4095
1584780082813,1285123,1,4095,4095
1584780083314,1285343,1,4095,4095
1584780083314,1285563,1,4095,4095
1584780083814,1285783,1,4095,4095
1584780083814,1286003,1,4095,4095
1584780084314,1286223,1,4095,4095
1584780084314,1286443,1,4095,4095
1584780084813,1286663,1,4095,4095
1584780084813,1286883,1,4095,4095
1584780084813,1287103,1,4095,4095
1584780085314,1287323,1,4095,4095
1584780085314,1287543,1,4095,4095
1584780085814,1287763,1,4095,4095
1584780085814,1287983,1,4095,4095
1584780086313,1288203,1,4095,4095
1584780086313,1288423,1,4095,4095
1584780086813,1288643,1,4095,4095
1584780086813,1288863,1,4095,4095
1584780086813,1289083,1,4095,4095
1584780087313,1289303,1,4095,4095
1584780087313,1289523,1,4095,4095
1584780087814,1289743,1,4095,4095
1584780087814,1289963,1,4095,4095
1584780088314,1290183,1,4095,4095
1584780088314,1290403,1,4095,4095
1584780088314,1290623,1,4095,4095
1584780088815,1290843,1,4095,4095
1584780088815,1291063,1,4095,4095
1584780089316,1291283,1,4095,4095
1584780089316,1291503,1,4095,4095
1584780089813,1291723,1,4095,4095
1584780089813,1291943,1,4095,4095
1584780090313,1292163,1,4095,4095
1584780090313,1292383,1,4095,4095
1584780090313,1292603,1,4095,4095
1584780090813,1292823,1,4095,4095
1584780090813,1293043,1,4095,4095
1584780091314,1293263,1,4095,4095
1584780091314,1293483,1,4095,4095
1584780091813,1293703,1,4095,4095
1584780091813,1293923,1,4095,4095
1584780092313,1294143,1,4095,4095
1584780092313,1294363,1,4095,4095
1584780092313,1294583,1,4095,4095
1584780092813,1294803,1,4095,4095
1584780092813,1295023,1,4095,4095
1584780093313,1295243,1,4095,4095
1584780093313,1295463,1,4095,4095
1584780093814,1295683,1,4095,4095
1584780093814,1295903,1,4095,4095
1584780093814,1296123,1,4095,4095
1584780094314,1296343,1,4095,4095
1584780094314,1296563,1,4095,4095
1584780094816,1296783,1,4095,4095
1584780094816,1297003,1,4095,4095
1584780095314,1297223,1,4095,4095
1584780095314,1297443,1,4095,4095
1584780095813,1297663,1,4095,4095
1584780095813,1297883,1,4095,4095
1584780095813,1298103,1,4095,4095
1584780096313,1298323,1,4095,4095
1584780096313,1298543,1,4095,4095
1584780096814,1298763,1,4095,4095
1584780096814,1298983,1,4095,4095
1584780097314,1299203,1,4095,4095
1584780097314,1299423,1,4095,4095
1584780097816,1299643,1,4095,4095
1584780097816,1299863,1,4095,4095
1584780097816,1300083,1,4095,4095
1584780098313,1300303,1,4095,4095
1584780098313,1300523,1,4095,4095
1584780098815,1300743,1,4095,4095
1584780098815,1300963,1,4095,4095
1584780099313,1301183,1,4095,4095
1584780099313,1301403,1,4095,4095
1584780099313,1301623,1,4095,4095
1584780099813,1301843,1,4095,4095
1584780099813,1302063,1,4095,4095
1584780100313,1302283,1,4095,4095
1584780100313,1302503,1,4095,4095
1584780100814,1302723,1,4095,4095
1584780100814,1302943,1,4095,4095
1584780101313,1303163,1,4095,4095
1584780101313,1303383,1,4095,4095
1584780101313,1303603,1,4095,4095
1584780101814,1303823,1,4095,4095
1584780101814,1304043,1,4095,4095
1584780102313,1304263,1,4095,4095
1584780102313,1304483,1,4095,4095
1584780102814,1304703,1,4095,4095
1584780102814,1304923,1,4095,4095
1584780103313,1305143,1,4095,4095
1584780103313,1305363,1,4095,4095
1584780103313,1305583,1,4095,4095
1584780103814,1305803,1,4095,4095
1584780103814,1306023,1,4095,4095
1584780104314,1306243,1,4095,4095
1584780104314,1306463,1,4095,4095
1584780104817,1306683,1,4095,4095
1584780104817,1306903,1,4095,4095
1584780104817,1307123,1,4095,4095
1584780105314,1307343,1,4095,4095
