localTime,remoteTime,label,eda,eda_filtered
1584780023133,1149265,,4095,4095
1584780023133,1149485,,4095,4095
1584780023633,1149705,,4095,4095
1584780023633,1149925,,4095,4095
1584780024133,1150145,,4095,4095
1584780024133,1150365,,4095,4095
1584780024133,1150585,,4095,4095
1584780024634,1150805,,4095,4095
1584780024634,1151025,,4095,4095
1584780025132,1151245,,4095,4095
1584780025132,1151465,,4095,4095
1584780025632,1151684,,4095,4095
1584780025632,1151904,,4095,4095
1584780025632,1152124,,4095,4095
1584780026132,1152344,,4095,4095
1584780026132,1152564,,4095,4095
1584780026633,1152784,,4095,4095
1584780026633,1153004,,4095,4095
1584780027132,1153224,,4095,4095
1584780027132,1153444,,4095,4095
1584780027632,1153664,,4095,4095
1584780027632,1153884,,4095,4095
1584780027632,1154104,,4095,4095
1584780028133,1154324,,4095,4095
1584780028133,1154544,,4095,4095
1584780028632,1154764,,4095,4095
1584780028632,1154984,,4095,4095
1584780029132,1155204,,4095,4095
1584780029132,1155424,,4095,4095
1584780029632,1155644,,4095,4095
1584780029632,1155864,,4095,4095
1584780029632,1156084,,4095,4095
1584780030132,1156304,,4095,4095
1584780030132,1156524,,4095,4095
1584780030632,1156744,,4095,4095
1584780030632,1156964,,4095,4095
1584780031133,1157184,,4095,4095
1584780031133,1157404,,4095,4095
1584780031133,1157624,,4095,4095
1584780031632,1157844,,4095,4095
1584780031632,1158064,,4095,4095
1584780032132,1158284,,4095,4095
1584780032132,1158504,,4095,4095
1584780032632,1158724,,4095,4095
1584780032632,1158944,,4095,4095
1584780033132,1159164,,4095,4095
1584780033132,1159384,,4095,4095
1584780033132,1159604,,4095,4095
1584780033633,1159824,,4095,4095
1584780033633,1160044,,4095,4095
1584780034131,1160264,,4095,4095
1584780034131,1160484,,4095,4095
1584780034634,1160704,,4095,4095
1584780034634,1160924,,4095,4095
1584780035132,1161144,,4095,4095
1584780035132,1161364,,4095,4095
1584780035132,1161584,,4095,4095
1584780035632,1161804,,4095,4095
1584780035632,1162024,,4095,4095
1584780036132,1162244,,4095,4095
1584780036132,1162464,,4095,4095
1584780036632,1162684,,4095,4095
1584780036632,1162904,,4095,4095
1584780036632,1163124,,4095,4095
1584780037133,1163344,,4095,4095
1584780037133,1163564,,4095,4095
1584780037632,1163784,,4095,4095
1584780037632,1164004,,4095,4095
1584780038132,1164224,,4095,4095
1584780038132,1164444,,4095,4095
